 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,c75(a1-c2)-11.tif:0001-0359-1218:1,0.689,205.424,59.322,2.203,3.220,57.724,3.917
2,c75(a1-c2)-11.tif:0001-0578-0970:1,0.402,164.237,96.949,0.508,2.203,77.005,2.194
3,c75(a1-c2)-11.tif:0001-0342-0935:1,0.402,157.797,57.288,1.525,1.525,48.013,2.159
4,c75(a1-c2)-11.tif:0001-0133-0255:1,0.460,42.034,22.203,2.542,0.847,19.654,2.609
5,c75(a1-c2)-11.tif:0001-0272-0795:1,0.402,134.407,45.085,0.847,2.203,68.962,2.288
6,c75(a1-c2)-2.tif:0001-0765-0777:1,0.316,130.847,129.322,1.695,0.678,-18.435,1.716
7,c75(a1-c2)-2.tif:0001-0675-0818:1,0.402,137.627,113.898,2.034,1.017,26.565,2.198
8,c75(a1-c2)-2.tif:0001-0856-0975:1,0.402,164.237,144.915,2.203,0.508,-12.995,2.244
9,c75(a1-c2)-2.tif:0001-0848-1009:1,0.230,170.678,143.390,0.847,0.847,-45.000,1.198
10,c75(a1-c2)-2.tif:0001-0240-0085:1,0.431,13.220,40.678,2.373,0.169,-4.086,2.379
11,c75(a1-c2)-2.tif:0001-0229-0057:1,0.460,8.475,38.305,2.373,1.186,-28.301,2.577
12,c75(a1-c2)-2.tif:0001-0719-0469:1,0.259,78.983,121.356,1.017,1.017,45.000,1.380
13,c75(a1-c2)-2.tif:0001-0841-0215:1,0.259,36.441,141.864,0.169,1.356,90.000,1.359
14,c75(a1-c2)-2.tif:0001-0863-0232:1,0.316,38.475,145.932,1.695,0.678,21.801,1.747
15,c75(a1-c2)-2.tif:0001-0822-0058:1,0.517,8.475,138.814,2.712,1.186,23.629,2.927
16,c75(a1-c2)-2.tif:0001-0719-0489:1,0.460,81.695,121.525,2.542,0.678,-15.945,2.549
17,c75(a1-c2)-2.tif:0001-0921-0551:1,0.287,92.712,155.763,1.356,0.847,35.538,1.528
18,c75(a1-c2)-2.tif:0001-0933-0418:1,0.287,70.339,157.627,1.017,1.186,49.399,1.563
19,c75(a1-c2)-2.tif:0001-0903-1066:1,0.402,179.831,152.373,1.864,1.356,-34.992,2.187
20,c75(a1-c2)-2.tif:0001-0866-1004:1,0.804,167.966,146.610,4.576,0.508,-6.340,4.520
21,c75(a1-c2)-2.tif:0001-0855-1067:1,0.316,180.000,144.746,1.695,0.339,-5.711,1.630
22,c75(a1-c2)-2.tif:0001-0438-0978:1,0.230,165.593,73.729,0.508,1.186,-74.055,1.260
23,c75(a1-c2)-2.tif:0001-0570-0954:1,0.230,161.186,96.441,1.017,0.508,-26.565,1.137
24,c75(a1-c2)-2.tif:0001-0540-0945:1,0.287,159.492,91.525,1.525,0.000,0.000,1.525
25,c75(a1-c2)-2.tif:0001-0538-0926:1,0.259,156.441,90.678,1.017,1.017,-45.000,1.438
26,c75(a1-c2)-2.tif:0001-0552-1121:1,0.345,189.153,93.390,1.864,0.339,10.305,1.812
27,c75(a1-c2)-2.tif:0001-0574-1282:1,0.575,215.763,96.949,3.051,0.847,15.524,3.166
28,c75(a1-c2)-2.tif:0001-0662-1285:1,0.287,217.119,111.864,1.525,0.678,-26.565,1.558
29,c75(a1-c2)-2.tif:0001-0390-1118:1,0.460,188.305,65.932,2.542,0.508,11.310,2.593
30,c75(a1-c2)-2.tif:0001-0395-1146:1,0.689,192.542,66.271,3.559,1.525,-20.854,3.840
31,c75(a1-c2)-2.tif:0001-0245-0679:1,0.402,114.068,41.356,2.203,0.508,-12.995,2.261
32,c75(a1-c2)-2.tif:0001-0236-0649:1,0.345,109.322,39.322,1.356,1.356,-45.000,1.859
33,c75(a1-c2)-2.tif:0001-0295-0608:1,0.575,101.525,49.492,3.051,1.017,15.524,3.190
34,c75(a1-c2)-2.tif:0001-0075-0587:1,0.373,98.644,12.373,1.864,0.847,24.444,1.971
35,c75(a1-c2)-2.tif:0001-0197-0609:1,0.373,102.203,33.220,2.034,0.508,14.036,2.014
36,c75(a1-c2)-2.tif:0001-0053-1235:1,0.517,208.305,7.966,2.203,2.034,-42.709,2.937
37,c75(a1-c2)-2.tif:0001-0092-1230:1,0.230,207.966,15.424,1.186,0.339,8.130,1.131
38,c75(a1-c2)-2.tif:0001-0970-1342:1,0.431,226.271,164.237,2.373,0.508,-12.095,2.344
39,c75(a1-c2)-2.tif:0001-1013-0909:1,0.201,153.729,171.356,0.678,0.678,-45.000,0.959
40,c75(a1-c2)-3.tif:0002-0891-0903:2,0.373,152.203,150.678,1.864,0.678,19.983,1.984
41,c75(a1-c2)-3.tif:0002-0880-0921:2,0.287,155.424,148.644,1.356,1.017,36.870,1.576
