 ;Label;Area;BX;BY;Width;Height;Angle;Length
1;ms510(a1-c5)-1.tif:0001-0332-0856:1;0.488;144.576;55.085;1.017;2.542;-71.565;2.708
2;ms510(a1-c5)-1.tif:0001-0320-0673:1;0.402;113.898;53.220;0.508;2.203;-77.005;2.261
3;ms510(a1-c5)-1.tif:0001-0414-0906:1;0.316;153.051;69.492;1.017;1.356;-57.995;1.645
4;ms510(a1-c5)-1.tif:0001-0413-0730:1;0.517;123.390;68.644;0.678;2.881;-76.759;2.942
5;ms510(a1-c5)-1.tif:0001-0443-0741:1;0.488;124.915;74.068;1.525;2.203;-58.392;2.633
6;ms510(a1-c5)-1.tif:0001-0296-0803:1;0.345;135.424;49.661;1.525;1.186;-41.186;1.866
7;ms510(a1-c5)-1.tif:0001-0267-0797:1;0.287;135.085;44.576;0.169;1.525;90.000;1.443
8;ms510(a1-c5)-1.tif:0001-0315-0880:1;0.316;148.983;52.542;0.339;1.695;-78.690;1.728
9;ms510(a1-c5)-1.tif:0001-0566-0853:1;0.345;144.407;95.085;0.508;1.864;-74.745;1.851
10;ms510(a1-c5)-1.tif:0001-0090-0667:1;0.345;112.712;14.407;0.847;1.695;-63.435;1.820
11;ms510(a1-c5)-1.tif:0001-0032-0638:1;0.287;108.136;4.746;0.169;1.525;96.340;1.451
12;ms510(a1-c5)-1.tif:0001-0049-0539:1;0.373;91.186;7.288;0.508;2.034;-75.964;2.014
13;ms510(a1-c5)-1.tif:0001-0061-0663:1;0.460;112.373;9.153;0.169;2.542;94.086;2.459
14;ms510(a1-c5)-1.tif:0001-0064-0650:1;0.546;109.322;9.661;1.695;2.542;-56.310;3.056
15;ms510(a1-c5)-1.tif:0001-0177-0629:1;0.460;106.610;28.814;0.169;2.542;93.814;2.548
16;ms510(a1-c5)-1.tif:0001-0504-0097:1;0.402;15.932;84.576;1.017;1.864;118.610;2.124
17;ms510(a1-c5)-1.tif:0001-0538-0105:1;0.345;17.627;90.339;0.508;1.864;101.310;1.829
18;ms510(a1-c5)-1.tif:0001-0776-0943:1;0.575;158.814;130.339;2.203;2.373;-49.399;3.181
19;ms510(a1-c5)-1.tif:0001-0799-0957:1;0.402;161.864;134.407;0.847;2.034;-67.380;2.203
20;ms510(a1-c5)-1.tif:0001-0733-0930:1;0.431;157.288;123.051;0.847;2.373;-74.055;2.412
21;ms510(a1-c5)-1.tif:0001-0711-0924:1;0.259;156.441;119.831;0.339;1.356;-75.964;1.380
22;ms510(a1-c5)-1.tif:0001-0981-1024:1;0.230;173.220;165.932;0.847;0.847;-45.000;1.198
23;ms510(a1-c5)-1.tif:0001-0961-1020:1;0.373;172.712;161.864;0.508;2.034;80.538;2.078
24;ms510(a1-c5)-1.tif:0001-0705-1231:1;0.345;208.136;118.814;1.186;1.525;123.690;1.882
25;ms510(a1-c5)-1.tif:0001-0741-1250:1;0.259;211.356;125.085;1.017;1.017;-45.000;1.380
26;ms510(a1-c5)-1.tif:0001-0678-1253:1;0.402;212.203;113.898;0.339;2.203;99.462;2.134
27;ms510(a1-c5)-1.tif:0001-0343-1309:1;0.431;221.356;57.119;1.186;2.203;-65.225;2.388
28;ms510(a1-c5)-1.tif:0001-0358-1297:1;0.316;219.322;60.000;1.186;1.356;-45.000;1.739
29;ms510(a1-c5)-1.tif:0001-0419-1180:1;0.287;199.831;70.339;0.508;1.356;-69.444;1.448
30;ms510(a1-c5)-10.tif:0001-0259-1087:1;0.431;183.729;42.881;1.017;2.203;-67.380;2.315
