 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,ms535(a1-5b)-1.tif:0003-0181-0973:3,0.575,163.390,30.169,3.051,1.186,21.251,3.256
2,ms535(a1-5b)-1.tif:0003-0193-0999:3,0.833,167.458,31.525,3.898,2.542,32.005,4.734
3,ms535(a1-5b)-1.tif:0003-0413-0677:3,0.460,113.559,69.492,2.373,1.017,-23.199,2.518
4,ms535(a1-5b)-1.tif:0003-0395-0655:3,0.632,109.661,65.932,2.881,2.034,-37.405,3.507
5,ms535(a1-5b)-1.tif:0003-0215-0294:3,0.919,47.288,35.932,5.085,1.186,-13.134,5.274
6,ms535(a1-5b)-1.tif:0003-0733-1250:3,1.293,208.814,122.203,6.102,4.237,-34.778,7.393
7,ms535(a1-5b)-1.tif:0003-0808-1163:3,0.460,195.932,136.949,2.542,0.000,0.000,2.572
8,ms535(a1-5b)-1.tif:0003-0804-1134:3,0.517,190.847,135.763,2.881,1.017,16.390,2.957
9,ms535(a1-5b)-1.tif:0003-0253-0447:3,0.488,74.746,42.034,2.034,1.695,-36.870,2.666
10,ms535(a1-5b)-1.tif:0003-0484-0124:3,0.689,19.153,81.525,3.729,1.017,12.804,3.856
11,ms535(a1-5b)-1.tif:0003-0386-0718:3,0.632,120.169,64.576,3.051,1.864,-31.430,3.546
12,ms535(a1-5b)-1.tif:0003-0472-0814:3,1.005,135.932,78.136,4.237,3.898,-42.614,5.755
13,ms535(a1-5b)-1.tif:0003-0449-0769:3,1.752,126.102,73.559,8.644,5.254,-30.466,10.135
14,ms535(a1-5b)-1.tif:0003-0399-0438:3,0.460,73.390,66.780,1.695,1.864,-47.726,2.562
15,ms535(a1-5b)-1.tif:0003-0602-0783:3,0.431,131.525,102.034,2.373,0.169,0.000,2.376
16,ms535(a1-5b)-1.tif:0003-0800-0758:3,0.345,128.136,134.746,0.847,1.695,63.435,1.870
17,ms535(a1-5b)-1.tif:0003-0842-0531:3,0.833,88.136,141.356,3.898,2.881,37.694,4.769
18,ms535(a1-5b)-1.tif:0003-0891-0357:3,0.718,58.983,149.831,3.220,2.542,41.634,4.094
19,ms535(a1-5b)-1.tif:0003-0901-0133:3,1.350,18.814,151.525,7.458,2.542,18.825,7.861
20,ms535(a1-5b)-1.tif:0003-0892-0186:3,0.632,29.831,150.847,3.390,0.847,14.036,3.481
21,ms535(a1-5b)-1.tif:0003-0691-0108:3,0.345,17.627,116.610,1.525,1.186,45.000,1.924
22,ms535(a1-5b)-1.tif:0003-0628-0177:3,0.460,29.661,105.254,0.678,2.373,-74.055,2.468
23,ms535(a1-5b)-1.tif:0003-0654-0059:3,0.833,8.136,109.492,3.898,2.881,-37.694,4.769
24,ms535(a1-5b)-1.tif:0003-0688-0093:3,0.230,15.424,116.271,0.847,0.678,-33.690,1.130
25,ms535(a1-5b)-1.tif:0003-0830-0074:3,0.431,12.373,139.661,0.508,2.203,74.055,2.329
26,ms535(a1-5b)-1.tif:0003-0781-0057:3,0.402,8.644,132.373,2.203,0.000,0.000,2.147
27,ms535(a1-5b)-1.tif:0003-0828-0223:3,0.632,36.102,140.000,3.390,0.847,14.036,3.508
28,ms535(a1-5b)-1.tif:0003-0079-0305:3,0.488,51.017,12.373,1.525,2.203,-55.305,2.759
29,ms535(a1-5b)-1.tif:0003-0098-0295:3,0.287,49.492,16.102,1.186,1.186,-49.399,1.598
30,ms535(a1-5b)-1.tif:0003-0159-0234:3,0.402,38.814,26.271,1.864,1.356,-36.027,2.260
31,ms535(a1-5b)-1.tif:0003-0197-0261:3,0.460,43.390,32.542,1.864,1.695,-42.274,2.562
32,ms535(a1-5b)-1.tif:0003-0358-0239:3,0.919,39.831,58.136,1.525,5.085,73.301,5.293
33,ms535(a1-5b)-1.tif:0003-0183-0643:3,0.488,107.627,31.017,2.712,0.169,-3.576,2.714
34,ms535(a1-5b)-1.tif:0003-0200-0917:3,0.402,154.407,33.559,2.034,0.847,-22.620,2.226
35,ms535(a1-5b)-1.tif:0003-0220-0954:3,0.517,160.508,36.610,2.542,1.525,-33.690,2.947
36,ms535(a1-5b)-1.tif:0003-0344-0988:3,0.517,166.102,57.966,2.712,0.847,17.354,2.825
37,ms535(a1-5b)-1.tif:0003-0351-1022:3,0.517,171.864,58.983,2.712,1.017,-20.556,2.896
38,ms535(a1-5b)-1.tif:0003-0304-1064:3,0.689,178.475,51.525,3.898,0.169,2.490,3.848
39,ms535(a1-5b)-1.tif:0003-0346-0712:3,0.431,119.492,58.644,2.373,0.000,0.000,2.373
40,ms535(a1-5b)-1.tif:0003-0297-0491:3,0.431,82.034,50.169,2.373,0.508,12.095,2.416
41,ms535(a1-5b)-1.tif:0003-0491-1031:3,0.402,174.746,82.203,0.169,2.203,-85.601,2.271
42,ms535(a1-5b)-1.tif:0003-0908-0751:3,0.603,125.763,153.390,3.220,1.186,17.526,3.360
43,ms535(a1-5b)-1.tif:0003-0903-0803:3,1.034,133.220,152.542,5.932,1.186,11.310,5.983
44,ms535(a1-5b)-1.tif:0003-0828-0567:3,0.689,94.237,140.339,3.898,0.000,0.000,3.842
45,ms535(a1-5b)-1.tif:0003-0626-0802:3,0.402,134.915,106.102,2.203,0.169,-4.399,2.271
46,ms535(a1-5b)-1.tif:0003-0629-0774:3,0.287,130.508,106.610,1.525,0.000,0.000,1.582
47,ms535(a1-5b)-1.tif:0003-0483-0158:3,0.373,25.763,81.695,2.034,0.339,9.462,2.062
48,ms535(a1-5b)-10.tif:0001-0826-0745:1,0.891,124.576,138.305,3.559,3.559,43.668,5.034
49,ms535(a1-5b)-10.tif:0001-0798-0774:1,0.488,130.169,134.407,2.034,1.695,39.806,2.648
50,ms535(a1-5b)-10.tif:0001-0629-1093:1,0.402,184.237,106.271,2.034,0.847,-22.620,2.226
51,ms535(a1-5b)-10.tif:0001-0616-1061:1,0.718,178.136,103.390,3.390,2.203,-33.024,4.012
52,ms535(a1-5b)-10.tif:0001-0681-1101:1,0.460,185.593,114.915,2.203,1.186,-28.301,2.527
53,ms535(a1-5b)-10.tif:0001-0365-0535:1,1.149,87.627,60.678,6.271,2.373,-20.726,6.652
54,ms535(a1-5b)-10.tif:0001-0380-0574:1,0.517,96.102,63.729,2.542,1.356,-26.565,2.931
55,ms535(a1-5b)-10.tif:0001-0224-0446:1,0.460,74.746,37.119,1.864,1.695,-42.274,2.478
56,ms535(a1-5b)-10.tif:0001-0412-0170:1,0.575,27.627,68.814,2.542,2.034,-36.870,3.300
57,ms535(a1-5b)-10.tif:0001-0227-0398:1,0.345,66.610,38.136,1.864,0.678,-19.983,1.931
58,ms535(a1-5b)-10.tif:0001-0242-0425:1,0.891,70.000,39.661,4.237,2.881,-34.216,5.046
59,ms535(a1-5b)-10.tif:0001-0151-0176:1,0.488,29.322,24.407,1.186,2.373,63.435,2.628
60,ms535(a1-5b)-10.tif:0001-0118-0186:1,0.632,31.356,18.305,0.508,3.559,81.870,3.644
61,ms535(a1-5b)-10.tif:0001-0160-0082:1,0.546,12.542,26.610,2.712,1.186,-23.629,2.983
62,ms535(a1-5b)-10.tif:0001-0180-0613:1,0.661,102.373,29.492,3.220,2.034,-33.690,3.761
