 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,pdc40(a1-b1)-1.tif:0001-0021-0779:1,0.517,131.017,2.712,2.203,1.864,-37.569,2.807
2,pdc40(a1-b1)-1.tif:0001-0117-0396:1,0.373,66.780,18.983,0.847,1.864,-63.435,2.021
3,pdc40(a1-b1)-1.tif:0001-0149-0352:1,0.259,59.153,24.915,1.017,0.847,-45.000,1.361
4,pdc40(a1-b1)-1.tif:0001-0117-0945:1,0.373,159.153,19.831,2.034,0.169,-4.764,2.046
5,pdc40(a1-b1)-1.tif:0001-0065-0872:1,0.689,146.271,10.000,3.220,2.203,-36.384,3.888
6,pdc40(a1-b1)-1.tif:0001-0340-1246:1,0.316,210.847,56.949,0.847,1.525,-66.038,1.769
7,pdc40(a1-b1)-1.tif:0001-0362-1258:1,0.345,213.051,60.508,0.339,1.864,-79.695,1.839
8,pdc40(a1-b1)-1.tif:0001-0393-1061:1,0.373,179.153,66.102,1.525,1.186,-34.992,2.012
9,pdc40(a1-b1)-1.tif:0001-0352-0968:1,0.431,163.898,58.475,0.508,2.373,-77.905,2.416
10,pdc40(a1-b1)-1.tif:0001-0464-1223:1,0.431,206.610,77.797,1.525,1.695,-48.013,2.318
11,pdc40(a1-b1)-1.tif:0001-0260-0846:1,0.402,142.542,43.559,1.864,1.017,-28.610,2.173
12,pdc40(a1-b1)-1.tif:0001-0322-1053:1,0.373,177.797,53.898,1.525,1.356,-41.634,1.999
13,pdc40(a1-b1)-1.tif:0001-0875-0954:1,0.431,160.678,147.797,2.203,1.017,-26.565,2.376
14,pdc40(a1-b1)-1.tif:0001-0891-0988:1,0.373,166.610,150.508,1.864,1.017,-28.610,2.074
15,pdc40(a1-b1)-1.tif:0001-0930-0973:1,0.431,164.576,156.610,0.847,2.203,-65.225,2.329
16,pdc40(a1-b1)-1.tif:0001-0927-0985:1,0.402,165.932,157.119,2.203,0.169,4.399,2.271
17,pdc40(a1-b1)-1.tif:0001-0954-0940:1,0.431,159.153,160.678,0.508,2.203,-77.905,2.305
18,pdc40(a1-b1)-1.tif:0001-0732-0810:1,0.402,136.441,123.390,1.864,1.356,-36.027,2.260
19,pdc40(a1-b1)-1.tif:0001-0675-0744:1,0.575,124.576,113.898,3.051,1.017,-18.435,3.216
20,pdc40(a1-b1)-1.tif:0001-0678-0693:1,0.345,116.780,114.407,1.525,1.186,-30.964,1.944
21,pdc40(a1-b1)-1.tif:0001-0646-0639:1,0.488,107.119,108.983,2.542,1.017,-23.199,2.686
22,pdc40(a1-b1)-1.tif:0001-0711-0183:1,0.431,30.000,120.000,2.034,1.186,-30.256,2.384
23,pdc40(a1-b1)-1.tif:0001-0684-0164:1,0.373,27.119,115.254,1.356,1.525,-51.340,2.084
24,pdc40(a1-b1)-1.tif:0001-0960-0260:1,0.488,43.051,162.034,2.203,1.525,-34.695,2.695
25,pdc40(a1-b1)-1.tif:0001-0123-0295:1,0.345,49.661,20.169,0.847,1.525,-63.435,1.822
26,pdc40(a1-b1)-1.tif:0001-0098-0311:1,0.259,52.373,16.271,0.847,0.847,-45.000,1.278
27,pdc40(a1-b1)-1.tif:0001-0094-0268:1,0.287,44.746,15.593,1.356,0.678,-26.565,1.516
28,pdc40(a1-b1)-1.tif:0001-0180-0318:1,0.373,53.051,30.169,1.864,0.847,-24.444,2.021
29,pdc40(a1-b1)-1.tif:0001-0157-0332:1,0.373,55.932,25.763,0.847,1.864,-68.199,1.973
30,pdc40(a1-b1)-1.tif:0001-0222-0376:1,0.287,63.559,36.949,0.508,1.525,-69.444,1.574
31,pdc40(a1-b1)-1.tif:0001-0384-0242:1,0.402,40.169,64.576,1.864,1.186,-33.690,2.288
32,pdc40(a1-b1)-1.tif:0001-0315-0115:1,0.402,18.475,53.390,2.203,0.169,4.399,2.150
33,pdc40(a1-b1)-1.tif:0001-0203-0623:1,0.488,104.237,34.068,2.712,0.678,-14.036,2.795
34,pdc40(a1-b1)-10.tif:0001-0157-0306:1,0.460,51.356,25.593,1.186,2.203,-58.392,2.481
35,pdc40(a1-b1)-10.tif:0001-0159-0497:1,0.402,83.559,26.271,1.525,1.525,-45.000,2.159
36,pdc40(a1-b1)-10.tif:0001-0200-0102:1,0.316,17.119,33.220,0.339,1.525,-77.471,1.618
37,pdc40(a1-b1)-10.tif:0001-0245-0102:1,0.546,16.271,40.339,2.034,2.373,-49.399,3.125
38,pdc40(a1-b1)-10.tif:0001-0108-0496:1,0.488,83.051,17.458,2.034,1.695,-39.806,2.648
39,pdc40(a1-b1)-10.tif:0001-0087-0484:1,0.402,81.017,14.407,2.034,0.847,-26.565,2.226
40,pdc40(a1-b1)-10.tif:0001-0260-0156:1,0.373,25.424,44.068,2.034,0.169,0.000,2.037
41,pdc40(a1-b1)-10.tif:0001-0225-0242:1,0.345,40.339,37.627,1.525,1.186,-41.186,1.924
42,pdc40(a1-b1)-10.tif:0001-0405-0113:1,0.316,18.983,67.966,0.508,1.525,-71.565,1.680
43,pdc40(a1-b1)-10.tif:0001-0353-0369:1,0.345,61.864,59.322,1.525,1.186,-33.690,1.853
44,pdc40(a1-b1)-10.tif:0001-0349-0519:1,0.546,86.780,58.305,2.542,1.864,-35.538,3.074
45,pdc40(a1-b1)-10.tif:0001-0719-0361:1,0.546,59.831,121.525,2.881,0.847,-12.529,3.042
46,pdc40(a1-b1)-10.tif:0001-0704-0319:1,0.373,53.220,118.983,1.864,0.847,26.565,2.021
47,pdc40(a1-b1)-10.tif:0001-0809-0114:1,0.488,18.814,135.932,1.186,2.542,-64.983,2.731
48,pdc40(a1-b1)-10.tif:0001-0845-0061:1,0.431,9.661,142.373,1.525,1.695,-48.013,2.318
49,pdc40(a1-b1)-10.tif:0001-0823-0267:1,0.345,44.746,138.814,1.186,1.356,-48.814,1.839
50,pdc40(a1-b1)-10.tif:0001-0741-0107:1,0.316,18.136,124.746,0.169,1.695,-101.310,1.710
51,pdc40(a1-b1)-10.tif:0001-0774-0108:1,0.373,18.305,130.169,0.169,2.034,-85.236,2.046
52,pdc40(a1-b1)-10.tif:0001-0775-0143:1,0.287,23.559,131.017,1.356,0.847,-26.565,1.570
53,pdc40(a1-b1)-10.tif:0001-0790-0343:1,0.373,57.627,133.051,1.186,1.695,-59.036,2.037
54,pdc40(a1-b1)-10.tif:0001-0785-0392:1,0.345,65.593,132.881,1.864,0.508,-15.255,1.894
55,pdc40(a1-b1)-10.tif:0001-0840-0407:1,0.316,68.305,142.034,1.525,0.847,-29.055,1.668
56,pdc40(a1-b1)-10.tif:0001-0928-0285:1,0.431,47.458,156.610,1.864,1.525,-41.987,2.329
57,pdc40(a1-b1)-10.tif:0001-0980-0120:1,0.316,19.831,165.424,1.186,1.356,-48.814,1.765
58,pdc40(a1-b1)-10.tif:0001-0684-0534:1,0.431,90.000,114.915,1.186,2.034,-59.744,2.327
59,pdc40(a1-b1)-10.tif:0001-0586-0441:1,0.431,73.729,98.983,2.203,0.678,-17.103,2.359
60,pdc40(a1-b1)-10.tif:0001-0629-0518:1,0.517,86.949,105.424,1.695,2.373,-54.462,2.916
61,pdc40(a1-b1)-10.tif:0001-0519-0473:1,0.402,79.492,87.288,1.525,1.525,-48.013,2.237
62,pdc40(a1-b1)-10.tif:0001-0540-0560:1,0.402,94.237,90.847,1.525,1.525,-41.987,2.237
63,pdc40(a1-b1)-10.tif:0001-0575-0636:1,0.488,107.288,96.271,1.186,2.542,-66.801,2.731
64,pdc40(a1-b1)-10.tif:0001-0563-0620:1,0.373,104.237,95.085,1.864,0.678,-19.983,2.037
