 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,c74(a1-1d)-1.tif:0001-0465-0623:1,0.402,104.746,78.305,1.864,1.186,-32.471,2.194
2,c74(a1-1d)-1.tif:0001-0464-0592:1,0.373,99.322,78.475,2.034,0.508,14.036,2.111
3,c74(a1-1d)-1.tif:0001-0535-0611:1,0.460,102.373,90.169,2.373,1.017,-23.199,2.582
4,c74(a1-1d)-1.tif:0001-0541-0569:1,0.460,95.424,91.186,2.203,1.186,28.301,2.579
5,c74(a1-1d)-1.tif:0001-0653-0481:1,0.287,81.017,110.339,1.186,0.847,-35.538,1.447
6,c74(a1-1d)-1.tif:0001-0651-0458:1,0.316,76.949,110.169,1.525,0.508,16.699,1.645
7,c74(a1-1d)-1.tif:0001-0720-0672:1,0.575,112.373,122.034,3.220,0.169,3.013,3.285
8,c74(a1-1d)-1.tif:0001-0445-1005:1,0.517,168.983,75.424,2.881,0.169,3.366,2.947
9,c74(a1-1d)-1.tif:0001-0071-1209:1,0.517,203.729,11.356,2.542,1.525,32.735,2.947
10,c74(a1-1d)-1.tif:0001-0286-1231:1,0.316,207.966,48.305,1.525,0.508,16.699,1.645
11,c74(a1-1d)-1.tif:0001-0416-1232:1,0.718,206.949,70.339,3.898,0.508,-9.866,3.995
12,c74(a1-1d)-1.tif:0001-0430-1266:1,0.373,213.559,72.712,2.034,0.508,-14.036,2.084
13,c74(a1-1d)-1.tif:0001-0476-1189:1,0.402,200.508,80.678,2.203,0.169,0.000,2.263
14,c74(a1-1d)-1.tif:0001-0045-0876:1,0.345,147.966,6.949,1.186,1.356,45.000,1.839
15,c74(a1-1d)-1.tif:0001-0067-0862:1,0.172,145.932,11.186,0.508,0.508,36.870,0.799
16,c74(a1-1d)-1.tif:0001-0177-0853:1,0.431,143.559,29.661,2.203,0.847,-21.038,2.329
17,c74(a1-1d)-1.tif:0001-0347-0849:1,0.402,143.220,58.136,1.525,1.525,41.987,2.237
18,c74(a1-1d)-1.tif:0001-0365-0838:1,0.259,141.525,61.525,1.186,0.847,-35.538,1.379
19,c74(a1-1d)-1.tif:0001-0055-0447:1,0.373,74.746,9.153,2.034,0.508,-14.036,2.111
20,c74(a1-1d)-1.tif:0001-0032-0459:1,0.575,76.441,4.915,2.881,1.186,22.380,3.190
21,c74(a1-1d)-1.tif:0001-0036-0481:1,0.316,80.678,5.932,1.695,0.508,-16.699,1.754
22,c74(a1-1d)-1.tif:0001-0156-0190:1,0.575,30.847,25.763,2.881,1.525,29.358,3.238
23,c74(a1-1d)-1.tif:0001-0196-0018:1,0.431,2.373,32.373,1.525,1.695,48.013,2.318
24,c74(a1-1d)-1.tif:0001-0406-0245:1,0.287,40.847,68.644,1.525,0.339,-12.529,1.508
25,c74(a1-1d)-1.tif:0001-0845-0209:1,0.345,34.576,143.051,1.864,0.508,21.801,1.894
26,c74(a1-1d)-1.tif:0001-0885-0233:1,0.402,38.475,149.831,2.203,0.339,8.746,2.173
27,c74(a1-1d)-1.tif:0001-0860-0302:1,0.402,50.339,145.254,1.864,1.186,-28.610,2.132
28,c74(a1-1d)-1.tif:0001-0917-0341:1,0.316,57.119,155.085,1.525,0.847,-29.055,1.725
29,c74(a1-1d)-1.tif:0001-0910-0208:1,0.345,34.746,153.559,1.186,1.356,-45.000,1.839
30,c74(a1-1d)-1.tif:0001-0968-0217:1,0.345,35.932,164.068,1.864,0.169,-5.194,1.924
31,c74(a1-1d)-1.tif:0001-0618-1111:1,0.373,187.627,104.068,1.356,1.525,-51.340,2.084
32,c74(a1-1d)-1.tif:0001-0626-1139:1,0.488,191.864,105.932,2.542,0.508,-7.595,2.638
33,c74(a1-1d)-1.tif:0001-0757-1020:1,0.402,171.864,128.305,2.203,0.000,0.000,2.147
34,c74(a1-1d)-1.tif:0001-0699-0946:1,0.402,159.322,118.136,2.203,0.678,18.435,2.251
35,c74(a1-1d)-1.tif:0001-0718-0908:1,0.431,153.729,120.678,0.508,2.203,-77.905,2.305
36,c74(a1-1d)-1.tif:0001-0710-0826:1,0.316,139.322,120.000,1.525,0.678,-26.565,1.618
37,c74(a1-1d)-1.tif:0001-0654-0826:1,0.287,139.322,110.678,1.525,0.508,-20.556,1.574
38,c74(a1-1d)-1.tif:0001-0665-0832:1,0.345,140.508,112.034,1.186,1.525,52.125,1.944
39,c74(a1-1d)-1.tif:0001-0651-0713:1,0.402,120.339,109.492,1.186,1.864,-57.529,2.288
40,c74(a1-1d)-1.tif:0001-0648-0704:1,0.316,118.814,109.322,1.186,1.186,41.186,1.758
41,c74(a1-1d)-1.tif:0001-0777-1028:1,0.661,172.542,131.017,3.559,1.525,-21.801,3.798
42,c74(a1-1d)-1.tif:0001-0847-1083:1,0.431,183.220,142.542,0.847,2.203,63.435,2.329
43,c74(a1-1d)-1.tif:0001-0847-0882:1,0.259,149.322,143.051,0.508,1.186,-63.435,1.365
44,c74(a1-1d)-1.tif:0001-0869-0892:1,0.287,150.847,146.780,0.847,1.186,-63.435,1.473
45,c74(a1-1d)-1.tif:0001-0860-1166:1,0.431,196.441,145.763,2.373,0.000,0.000,2.373
46,c74(a1-1d)-1.tif:0001-0872-1292:1,0.546,217.458,147.797,3.051,0.169,-3.180,3.053
47,c74(a1-1d)-1.tif:0001-0843-1297:1,0.316,219.153,142.373,1.356,1.017,36.870,1.695
48,c74(a1-1d)-1.tif:0001-0833-1181:1,0.345,199.492,140.678,1.525,1.017,-33.690,1.787
49,c74(a1-1d)-1.tif:0001-0769-1224:1,0.460,206.271,130.000,2.542,0.847,14.931,2.609
50,c74(a1-1d)-1.tif:0001-0854-0937:1,0.316,158.136,144.407,1.525,0.847,-29.055,1.668
51,c74(a1-1d)-10.tif:0001-0714-1151:1,0.402,194.746,120.000,0.678,2.034,71.565,2.144
52,c74(a1-1d)-10.tif:0001-0686-1160:1,0.517,196.610,114.915,0.169,2.881,90.000,2.940
53,c74(a1-1d)-10.tif:0001-0651-1058:1,0.460,178.814,109.153,1.017,2.373,66.801,2.582
54,c74(a1-1d)-10.tif:0001-0612-1068:1,0.517,180.678,102.373,0.847,2.712,75.964,2.825
55,c74(a1-1d)-10.tif:0001-0816-0909:1,0.862,153.051,136.271,1.864,4.576,67.834,4.911
56,c74(a1-1d)-10.tif:0001-0817-0885:1,0.603,149.492,136.949,1.017,3.220,73.301,3.431
57,c74(a1-1d)-10.tif:0001-0886-0930:1,0.431,157.288,149.153,0.678,2.203,74.055,2.359
58,c74(a1-1d)-10.tif:0001-0902-0896:1,0.431,151.356,151.864,1.186,2.034,56.310,2.384
59,c74(a1-1d)-10.tif:0001-0883-0879:1,0.575,147.966,148.475,2.034,2.542,53.130,3.300
60,c74(a1-1d)-10.tif:0001-0857-1093:1,0.402,184.746,144.407,1.186,1.864,63.435,2.229
61,c74(a1-1d)-10.tif:0001-0836-1107:1,0.431,187.119,140.678,1.186,2.034,59.744,2.384
62,c74(a1-1d)-10.tif:0001-0735-1310:1,0.402,221.695,123.729,0.847,1.864,65.556,2.123
