Label,Angle,%Area,MinThr,MaxThr,Length,SMI32
ms404(a1-5b)-1.tif:0001-0175-0041:1,66.801,0,0,65535,1.252,0
ms404(a1-5b)-1.tif:0001-0187-0037:1,90,0,0,65535,0.933,0
ms404(a1-5b)-1.tif:0001-0134-0183:1,-69.444,0,0,65535,1.488,1
ms404(a1-5b)-1.tif:0001-0046-0114:1,26.565,0,0,65535,2.293,1
ms404(a1-5b)-1.tif:0001-0015-0285:1,-68.962,0,0,65535,2.361,1
ms404(a1-5b)-1.tif:0001-0167-0433:1,-63.435,0,0,65535,1.421,1
ms404(a1-5b)-1.tif:0001-0156-0504:1,139.764,0,0,65535,2.974,1
ms404(a1-5b)-1.tif:0001-0174-1311:1,-29.358,0,0,65535,3.111,1
ms404(a1-5b)-1.tif:0001-0416-1299:1,73.61,0,0,65535,2.922,1
ms404(a1-5b)-1.tif:0001-0327-1016:1,-51.34,0,0,65535,2.161,1
ms404(a1-5b)-1.tif:0001-0300-0916:1,75.964,0,0,65535,2.096,0
ms404(a1-5b)-1.tif:0001-0312-0915:1,63.435,0,0,65535,1.516,0
ms404(a1-5b)-1.tif:0002-0339-0822:2,12.095,0,0,65535,2.41,0
ms404(a1-5b)-1.tif:0002-0242-0858:2,-37.875,0,0,65535,1.866,1
ms404(a1-5b)-1.tif:0002-0639-0078:2,34.992,0,0,65535,2.119,1
ms404(a1-5b)-1.tif:0002-0501-0372:2,-22.249,0,0,65535,4.029,1
ms404(a1-5b)-1.tif:0002-0517-0459:2,0,0,0,65535,2.458,1
ms404(a1-5b)-1.tif:0002-0472-0424:2,24.444,0,0,65535,2.009,1
ms404(a1-5b)-1.tif:0002-0554-0529:2,-56.31,0,0,65535,2.471,1
ms404(a1-5b)-1.tif:0002-0580-0651:2,-38.157,0,0,65535,3.018,1
ms404(a1-5b)-1.tif:0002-0628-0661:2,11.31,0,0,65535,1.645,1
ms404(a1-5b)-1.tif:0002-0621-0696:2,24.775,0,0,65535,2.504,1
ms404(a1-5b)-1.tif:0002-0529-0487:2,-41.186,0,0,65535,1.859,0
ms404(a1-5b)-1.tif:0002-0694-0725:2,90,0,0,65535,3.221,1
ms404(a1-5b)-1.tif:0002-0513-1201:2,26.565,0,0,65535,3.79,1
ms404(a1-5b)-1.tif:0002-0649-1219:2,-29.358,0,0,65535,3.071,1
ms404(a1-5b)-1.tif:0002-0751-0146:2,11.768,0,0,65535,4.155,1
ms404(a1-5b)-1.tif:0002-0755-0117:2,37.569,0,0,65535,2.767,1
ms404(a1-5b)-2.tif:0002-0042-0178:2,-21.801,0,0,65535,4.485,1
ms404(a1-5b)-2.tif:0002-0024-0142:2,-37.405,0,0,65535,3.695,1
ms404(a1-5b)-2.tif:0002-0089-0015:2,16.39,0,0,65535,2.981,1
ms404(a1-5b)-2.tif:0002-0351-0046:2,-26.565,0,0,65535,3.487,1
ms404(a1-5b)-2.tif:0002-0251-0359:2,-21.801,0,0,65535,1.825,0
ms404(a1-5b)-2.tif:0002-0157-0585:2,-7.595,0,0,65535,2.481,1
ms404(a1-5b)-2.tif:0002-0204-0683:2,68.199,0,0,65535,3.572,1
ms404(a1-5b)-2.tif:0002-0063-0962:2,-8.531,0,0,65535,3.525,1
ms404(a1-5b)-2.tif:0002-0195-1290:2,64.983,0,0,65535,2.767,1
ms404(a1-5b)-2.tif:0002-0273-1181:2,19.654,0,0,65535,2.492,1
ms404(a1-5b)-2.tif:0002-0578-1032:2,-30.964,0,0,65535,2.009,1
ms404(a1-5b)-2.tif:0002-0740-0467:2,-63.435,0,0,65535,4.927,1
ms404(a1-5b)-2.tif:0002-0712-0211:2,6.34,0,0,65535,1.535,1
ms404(a1-5b)-2.tif:0002-0995-0190:2,-2.603,0,0,65535,3.653,1
ms404(a1-5b)-2.tif:0002-0430-0235:2,79.695,0,0,65535,3.692,1
ms404(a1-5b)-3.tif:0002-0572-0974:2,7.125,0,0,65535,2.733,1
ms404(a1-5b)-3.tif:0002-0586-1032:2,5.711,0,0,65535,1.63,1
ms404(a1-5b)-3.tif:0002-0725-0943:2,-29.358,0,0,65535,3.071,1
ms404(a1-5b)-3.tif:0002-0602-0404:2,-49.399,0,0,65535,3.245,1
ms404(a1-5b)-3.tif:0002-0709-0143:2,-30.069,0,0,65535,3.721,1
ms404(a1-5b)-3.tif:0002-0589-0577:2,3.366,0,0,65535,2.893,1
ms404(a1-5b)-3.tif:0002-0812-1133:2,-61.39,0,0,65535,2.084,0
