Label;Angle;%Area;MinThr;MaxThr;Length;SMI32
ms461_cbp1.tif:0002-0051-0134:2;17.526;0;0;65535;3.377;0
ms461_cbp1.tif:0001-0015-1105:1;-9.462;0;0;65535;3.093;0
ms461_cbp1.tif:0001-0113-1293:1;16.699;0;0;65535;1.796;0
ms461_cbp1.tif:0001-0403-1067:1;-45.000;0;0;65535;1.558;0
ms461_cbp1.tif:0001-0417-1088:1;-33.690;0;0;65535;1.153;0
ms461_cbp1.tif:0001-0451-1098:1;-15.255;0;0;65535;1.829;0
ms461_cbp1.tif:0001-0453-1116:1;22.620;0;0;65535;2.172;0
ms461_cbp1.tif:0001-0417-0689:1;-11.310;0;0;65535;3.457;1
ms461_cbp1.tif:0001-0399-0738:1;-14.036;0;0;65535;3.516;1
ms461_cbp1.tif:0001-0437-0732:1;-5.906;0;0;65535;4.941;1
ms461_cbp1.tif:0001-0496-0635:1;-11.310;0;0;65535;4.339;1
ms461_cbp1.tif:0001-0860-0356:1;34.509;0;0;65535;3.244;1
ms461_cbp1.tif:0001-0928-0088:1;-14.036;0;0;65535;3.494;1
ms461_cbp1.tif:0001-0575-0033:1;14.931;0;0;65535;5.262;1
ms461_cbp1.tif:0001-0042-0626:1;26.565;0;0;65535;3.335;1
ms461_cbp1.tif:0001-0179-0722:1;-15.524;0;0;65535;3.063;1
ms461_cbp1.tif:0001-0047-0911:1;-41.987;0;0;65535;2.224;0
ms461_cbp1.tif:0001-0905-0931:1;4.399;0;0;65535;2.294;0
ms461_cbp2.tif:0001-0676-1284:2;4.764;0;0;65535;2.046;0
ms461_cbp2.tif:0001-0730-1139:2;-57.724;0;0;65535;3.857;1
ms461_cbp2.tif:0001-0786-0027:2;0.000;0;0;65535;1.356;0
ms461_cbp2.tif:0001-0798-0049:2;0.000;0;0;65535;2.034;0
ms461_cbp3 (1).tif:0001-0730-0484:1;-6.009;0;0;65535;3.238;0
ms461_cbp3 (1).tif:0001-0604-0583:1;-56.310;0;0;65535;3.126;1
ms461_cbp3 (1).tif:0001-0577-0861:1;-28.072;0;0;65535;2.767;0
ms461_cbp3 (1).tif:0001-0810-0708:1;-30.256;0;0;65535;2.355;0
ms461_cbp3 (1).tif:0001-0875-0883:1;-3.366;0;0;65535;2.883;0
ms461_cbp3 (1).tif:0001-0915-0930:1;-45.000;0;0;65535;2.937;0
ms461_cbp3 (1).tif:0001-0373-0479:1;-38.157;0;0;65535;3.085;1
ms461_cbp4.tif:0002-0297-0790:2;-49.185;0;0;65535;4.880;1
ms461_cbp4.tif:0002-0336-0784:2;-14.534;0;0;65535;4.688;1
ms461_cbp4.tif:0002-0290-0749:2;-57.995;0;0;65535;3.259;1
ms461_cbp4.tif:0002-0312-0772:2;-14.621;0;0;65535;3.974;1
ms461_cbp4.tif:0002-0424-0954:2;-45.000;0;0;65535;1.918;0
ms461_cbp4.tif:0002-0285-1056:2;-38.660;0;0;65535;3.212;1
ms461_cbp4.tif:0002-0436-0766:2;-25.201;0;0;65535;3.285;1
ms461_cbp4.tif:0002-0713-0900:2;-30.256;0;0;65535;2.327;0
ms461_cbp4.tif:0002-0806-0824:2;-7.595;0;0;65535;2.638;0
ms461_cbp4.tif:0002-0891-1083:2;28.301;0;0;65535;2.527;0
ms461_cbp4.tif:0002-0886-1067:2;-53.130;0;0;65535;1.695;0
ms461_cbp4.tif:0002-0044-0155:2;-21.251;0;0;65535;3.190;0
ms461_cbp4.tif:0002-0047-0211:2;-16.699;0;0;65535;1.680;0
ms461_cbp4.tif:0002-0381-0290:2;-4.086;0;0;65535;2.376;0
ms461_cbp4.tif:0002-0403-0290:2;0.000;0;0;65535;1.921;0
ms461_cbp4.tif:0002-0612-0782:2;-37.405;0;0;65535;3.706;1
ms461_cbp4.tif:0002-0600-0754:2;-38.660;0;0;65535;3.300;1
ms461_cbp5.tif:0001-0403-1054:1;-22.249;0;0;65535;4.155;1
ms461_cbp5.tif:0001-0218-0906:1;-15.255;0;0;65535;3.974;1
ms461_cbp5.tif:0001-0222-0935:1;5.711;0;0;65535;3.294;1
ms461_cbp5.tif:0001-0322-0614:1;15.068;0;0;65535;4.440;1
