 ;Label;Area;Angle;Circ.;AR;Round;Solidity;Length;SMI32
1;ms478(a1-b5)-1.tif:0002-0365-0587:2;0.517;-25.017;0.783;0.000;0.000;NaN;2.881;1
2;ms478(a1-b5)-1.tif:0002-0337-0564:2;0.460;-26.565;0.905;0.000;0.000;NaN;2.527;1
3;ms478(a1-b5)-1.tif:0002-0770-0852:2;0.546;-51.843;0.736;0.000;0.000;NaN;3.053;0
4;ms478(a1-b5)-1.tif:0002-0658-0649:2;0.718;-29.745;0.550;0.000;0.000;NaN;4.050;0
5;ms478(a1-b5)-1.tif:0002-0634-0619:2;0.833;-42.138;0.454;0.000;0.000;NaN;4.805;0
6;ms478(a1-b5)-1.tif:0002-0907-0868:2;0.747;96.843;0.527;0.000;0.000;NaN;4.219;1
7;ms478(a1-b5)-1.tif:0002-0754-0926:2;0.603;67.166;0.640;0.000;0.000;NaN;3.442;1
8;ms478(a1-b5)-1.tif:0002-0919-0422:2;0.977;77.661;0.400;0.000;0.000;NaN;5.540;1
9;ms478(a1-b5)-1.tif:0002-0977-0397:2;0.488;32.735;0.788;0.000;0.000;NaN;2.791;0
10;ms478(a1-b5)-1.tif:0002-0406-0690:2;0.460;-47.726;0.933;0.000;0.000;NaN;2.488;0
11;ms478(a1-b5)-1.tif:0002-0372-1005:2;0.603;55.491;0.650;0.000;0.000;NaN;3.416;0
12;ms478(a1-b5)-1.tif:0002-0101-1225:2;0.546;-38.157;0.736;0.000;0.000;NaN;3.053;1
13;ms478(a1-b5)-1.tif:0002-0157-1313:2;0.575;-59.534;0.665;0.000;0.000;NaN;3.294;1
14;ms478(a1-b5)-1.tif:0002-0302-0924:2;0.575;60.642;0.732;0.000;0.000;NaN;3.140;1
15;ms478(a1-b5)-2.tif:0002-0497-0504:2;0.603;81.469;0.640;0.000;0.000;NaN;3.441;1
16;ms478(a1-b5)-2.tif:0002-0447-0524:2;0.747;66.501;0.519;0.000;0.000;NaN;4.251;1
17;ms478(a1-b5)-2.tif:0002-0045-0109:2;0.488;-18.435;0.855;0.000;0.000;NaN;2.680;0
18;ms478(a1-b5)-2.tif:0002-0041-0774:2;0.345;-41.186;1.000;0.000;0.000;NaN;1.814;1
19;ms478(a1-b5)-2.tif:0002-0688-1168:2;0.546;-80.538;0.717;0.000;0.000;NaN;3.093;1
20;ms478(a1-b5)-2.tif:0002-0854-0674:2;1.034;-90.000;0.380;0.000;0.000;NaN;5.848;1
21;ms478(a1-b5)-3.tif:0002-0800-1129:2;0.517;42.709;0.784;0.000;0.000;NaN;2.879;0
22;ms478(a1-b5)-3.tif:0002-0835-1186:2;0.488;47.490;0.806;0.000;0.000;NaN;2.759;0
23;ms478(a1-b5)-3.tif:0002-0969-0059:2;0.460;-65.225;0.946;0.000;0.000;NaN;2.471;0
24;ms478(a1-b5)-5.tif:0002-0145-0964:2;0.718;80.538;0.527;0.000;0.000;NaN;4.139;1
25;ms478(a1-b5)-5.tif:0002-0192-0955:2;0.575;90.000;0.734;0.000;0.000;NaN;3.137;1
26;ms478(a1-b5)-5.tif:0002-0092-1223:2;0.517;-28.072;0.825;0.000;0.000;NaN;2.807;1
27;ms478(a1-b5)-5.tif:0002-0193-1285:2;0.517;86.634;0.780;0.000;0.000;NaN;2.886;1
28;ms478(a1-b5)-5.tif:0002-0326-1045:2;0.345;48.814;1.000;0.000;0.000;NaN;1.802;0
29;ms478(a1-b5)-5.tif:0002-0227-1088:2;0.488;29.745;0.847;0.000;0.000;NaN;2.692;1
30;ms478(a1-b5)-5.tif:0002-0615-1247:2;1.034;16.390;0.360;0.000;0.000;NaN;6.007;1
