Label;Angle;%Area;MinThr;MaxThr;Length;SMI32
ms535(a1-b5)-1.tif:0002-0347-0557:2;-26.565;0;0;65535;3.437;1
ms535(a1-b5)-1.tif:0002-0412-0606:2;2.49;0;0;65535;3.902;1
ms535(a1-b5)-1.tif:0002-0446-0730:2;-41.186;0;0;65535;1.853;0
ms535(a1-b5)-1.tif:0002-0437-0681:2;0;0;0;65535;1.47;0
ms535(a1-b5)-1.tif:0002-0454-0845:2;-21.251;0;0;65535;3.264;1
ms535(a1-b5)-1.tif:0002-0627-1182:2;-14.931;0;0;65535;2.755;1
ms535(a1-b5)-1.tif:0002-0870-0766:2;25.56;0;0;65535;4.321;1
ms535(a1-b5)-1.tif:0002-0794-0740:2;71.565;0;0;65535;2.057;0
ms535(a1-b5)-2.tif:0001-0148-0187:1;55.008;0;0;65535;2.119;0
ms535(a1-b5)-2.tif:0001-0138-0244:1;12.995;0;0;65535;2.261;0
ms535(a1-b5)-2.tif:0001-0247-0100:1;9.462;0;0;65535;2.111;0
ms535(a1-b5)-2.tif:0002-0806-0728:2;20.376;0;0;65535;6.408;1
ms535(a1-b5)-2.tif:0002-0190-1213:2;11.31;0;0;65535;2.593;1
ms535(a1-b5)-2.tif:0002-0073-1095:2;7.125;0;0;65535;4.174;1
ms535(a1-b5)-3.tif:0002-0645-0335:2;22.751;0;0;65535;5.665;1
ms535(a1-b5)-3.tif:0002-0651-0289:2;1.548;0;0;65535;6.273;1
ms535(a1-b5)-3.tif:0002-0466-0478:2;-15.945;0;0;65535;4.913;1
ms535(a1-b5)-3.tif:0002-0334-0778:2;20.433;0;0;65535;9.275;1
ms535(a1-b5)-3.tif:0002-0881-0761:2;-15.255;0;0;65535;3.947;1
ms535(a1-b5)-3.tif:0002-0943-0766:2;3.814;0;0;65535;5.011;1
ms535(a1-b5)-3.tif:0002-0943-0730:2;2.291;0;0;65535;4.156;1
ms535(a1-b5)-3.tif:0002-1016-0508:2;4.086;0;0;65535;2.459;0
ms535(a1-b5)-3.tif:0002-0733-0787:2;28.61;0;0;65535;2.198;0
ms535(a1-b5)-3.tif:0002-0725-0810:2;12.095;0;0;65535;2.41;1
ms535(a1-b5)-3.tif:0002-0263-0301:2;-9.162;0;0;65535;5.238;1
ms535(a1-b5)-4.tif:0002-0557-0500:2;45;0;0;65535;1.443;0
ms535(a1-b5)-4.tif:0002-0560-0555:2;28.61;0;0;65535;2.05;0
ms535(a1-b5)-4.tif:0002-0498-0829:2;42.51;0;0;65535;5.576;1
ms535(a1-b5)-4.tif:0002-0130-0403:2;34.695;0;0;65535;2.562;0
ms535(a1-b5)-4.tif:0002-0177-0525:2;16.39;0;0;65535;3.028;0
ms535(a1-b5)-4.tif:0002-0803-0185:2;-23.962;0;0;65535;3.305;0
ms535(a1-b5)-4.tif:0002-0936-0054:2;-75.964;0;0;65535;1.398;0
ms535(a1-b5)-6.tif:0002-0681-0157:2;66.371;0;0;65535;5.92;1
ms535(a1-b5)-6.tif:0002-0022-1225:2;50.906;0;0;65535;3.375;1
ms535(a1-b5)-6.tif:0002-0005-1242:2;42.274;0;0;65535;2.52;1
ms535(a1-b5)-6.tif:0002-0218-1074:2;30.256;0;0;65535;2.428;0
ms535(a1-b5)-6.tif:0002-0724-0610:2;-30.256;0;0;65535;4.783;1
ms535(a1-b5)-6.tif:0002-0946-0709:2;32.471;0;0;65535;2.139;0
ms535(a1-b5)-6.tif:0002-0734-0355:2;-28.301;0;0;65535;2.471;1
ms535(a1-b5)-6.tif:0002-0982-0964:2;8.13;0;0;65535;2.397;0
ms535(a1-b5)-6.tif:0002-0981-0936:2;6.71;0;0;65535;2.901;0
ms535(a1-b5)-6.tif:0002-0910-0800:2;-26.565;0;0;65535;1.82;0
ms535(a1-b5)-6.tif:0002-0822-1000:2;-12.095;0;0;65535;2.41;1
ms535(a1-b5)-6.tif:0002-1008-1273:2;-33.69;0;0;65535;1.882;0
ms535(a1-b5)-6.tif:0002-0939-1334:2;-14.931;0;0;65535;2.631;1
ms535(a1-b5)-6.tif:0002-0893-1271:2;-17.745;0;0;65535;4.368;1
ms535(a1-b5)-7.tif:0002-0402-0155:2;-21.801;0;0;65535;3.7;1
ms535(a1-b5)-7.tif:0002-0256-0427:2;-21.038;0;0;65535;2.332;0
ms535(a1-b5)-7.tif:0002-0228-0222:2;8.973;0;0;65535;3.248;0
ms535(a1-b5)-7.tif:0002-0336-0143:2;-33.69;0;0;65535;1.904;0
