 ,Label,Area,Angle,Circ.,AR,Round,Solidity,Length,SMI32
1,ms567(a1-5b)-1.tif:0001-0170-0090:1,0.402,-81.254,1.000,0.000,0.000,NaN,2.201,1
2,ms567(a1-5b)-1.tif:0001-0272-0878:1,0.287,-23.962,1.000,0.000,0.000,NaN,1.555,1
3,ms567(a1-5b)-1.tif:0001-0268-0066:1,0.201,-45.000,1.000,0.000,0.000,NaN,1.100,0
4,ms567(a1-5b)-1.tif:0001-0532-0434:1,0.259,-23.199,1.000,0.000,0.000,NaN,1.277,0
5,ms567(a1-5b)-2.tif:0001-0239-1149:1,0.603,-84.289,0.651,0.000,0.000,NaN,3.413,1
6,ms567(a1-5b)-2.tif:0001-0215-1186:1,0.345,-21.801,1.000,0.000,0.000,NaN,1.922,0
7,ms567(a1-5b)-2.tif:0001-0198-1161:1,0.373,-48.366,1.000,0.000,0.000,NaN,1.958,0
8,ms567(a1-5b)-2.tif:0001-0631-1158:1,0.689,50.194,0.563,0.000,0.000,NaN,3.922,1
9,ms567(a1-5b)-2.tif:0001-0929-1274:1,0.259,56.310,1.000,0.000,0.000,NaN,1.301,0
10,ms567(a1-5b)-2.tif:0001-0961-1188:1,0.287,49.399,1.000,0.000,0.000,NaN,1.571,0
11,ms567(a1-5b)-2.tif:0001-0161-0972:1,0.287,-26.565,1.000,0.000,0.000,NaN,1.542,0
12,ms567(a1-5b)-3.tif:0002-0064-0226:2,0.259,26.565,1.000,0.000,0.000,NaN,1.403,0
13,ms567(a1-5b)-3.tif:0002-0032-0248:2,0.373,33.690,1.000,0.000,0.000,NaN,1.986,1
14,ms567(a1-5b)-3.tif:0002-0137-0344:2,0.259,-35.538,1.000,0.000,0.000,NaN,1.399,0
15,ms567(a1-5b)-3.tif:0002-0497-1004:2,0.460,-53.130,0.862,0.000,0.000,NaN,2.588,1
16,ms567(a1-5b)-3.tif:0002-0680-0185:2,0.259,-56.310,1.000,0.000,0.000,NaN,1.352,1
17,ms567(a1-5b)-3.tif:0002-0768-0259:2,0.402,48.013,1.000,0.000,0.000,NaN,2.247,1
18,ms567(a1-5b)-3.tif:0002-0996-0945:2,0.230,29.745,1.000,0.000,0.000,NaN,1.270,0
19,ms567(a1-5b)-3.tif:0002-1000-0934:2,0.230,15.945,1.000,0.000,0.000,NaN,1.234,0
20,ms567(a1-5b)-3.tif:0002-0187-0593:2,0.373,15.255,1.000,0.000,0.000,NaN,2.028,0
21,ms567(a1-5b)-4.tif:0001-0048-0732:1,0.517,-20.556,0.767,0.000,0.000,NaN,2.911,1
22,ms567(a1-5b)-4.tif:0001-0126-0850:1,0.287,-12.529,1.000,0.000,0.000,NaN,1.563,1
23,ms567(a1-5b)-4.tif:0001-0448-1221:1,0.287,49.399,1.000,0.000,0.000,NaN,1.595,0
24,ms567(a1-5b)-4.tif:0001-0892-0940:1,0.230,-63.435,1.000,0.000,0.000,NaN,1.157,0
