Label,Angle,%Area,MinThr,MaxThr,Length,SMI32
ms587(a1-c2)-1.tif:0001-0565-0504:1,36.027,0,0,65535,2.25,1
ms587(a1-c2)-1.tif:0001-0637-0455:1,41.987,0,0,65535,2.357,1
ms587(a1-c2)-1.tif:0001-0645-0536:1,14.036,0,0,65535,2.096,1
ms587(a1-c2)-1.tif:0001-0531-0792:1,-29.055,0,0,65535,1.696,1
ms587(a1-c2)-1.tif:0001-0537-1034:1,-17.103,0,0,65535,2.216,1
ms587(a1-c2)-1.tif:0001-0649-1183:1,50.711,0,0,65535,2.384,1
ms587(a1-c2)-1.tif:0001-0585-1313:1,32.471,0,0,65535,2.288,1
ms587(a1-c2)-1.tif:0001-0962-1062:1,-20.225,0,0,65535,3.326,1
ms587(a1-c2)-1.tif:0001-0821-0502:1,-2.386,0,0,65535,3.961,1
ms587(a1-c2)-1.tif:0001-0952-0445:1,-15.255,0,0,65535,1.948,0
ms587(a1-c2)-2.tif:0001-0387-0496:1,0,0,0,65535,1.751,1
ms587(a1-c2)-2.tif:0001-0552-0554:1,-34.992,0,0,65535,2.023,0
ms587(a1-c2)-2.tif:0001-0511-0647:1,3.576,0,0,65535,2.665,1
ms587(a1-c2)-2.tif:0001-0488-0713:1,55.008,0,0,65535,1.944,0
ms587(a1-c2)-2.tif:0001-0457-0720:1,-71.565,0,0,65535,2.162,1
ms587(a1-c2)-2.tif:0001-0037-0281:1,10.008,0,0,65535,2.881,0
ms587(a1-c2)-2.tif:0001-0151-0302:1,0,0,0,65535,2.376,0
ms587(a1-c2)-2.tif:0001-0297-0976:1,33.69,0,0,65535,1.803,0
ms587(a1-c2)-2.tif:0001-0274-1007:1,37.875,0,0,65535,1.924,0
ms587(a1-c2)-2.tif:0001-0398-0832:1,0,0,0,65535,1.924,1
ms587(a1-c2)-2.tif:0001-0400-0852:1,10.305,0,0,65535,1.878,1
ms587(a1-c2)-2.tif:0001-0828-0375:1,-49.399,0,0,65535,3.242,1
ms587(a1-c2)-2.tif:0001-0904-0561:1,48.013,0,0,65535,2.198,0
ms587(a1-c2)-2.tif:0001-0159-0331:1,-21.038,0,0,65535,2.308,0
ms587(a1-c2)-2.tif:0001-0952-0118:1,28.072,0,0,65535,2.729,1
ms587(a1-c2)-2.tif:0001-0851-0482:1,19.983,0,0,65535,1.948,0
ms587(a1-c2)-2.tif:0001-0856-0408:1,-16.699,0,0,65535,1.733,0
ms587(a1-c2)-2.tif:0001-0757-0757:1,-12.529,0,0,65535,1.486,0
ms587(a1-c2)-2.tif:0001-0761-0736:1,21.801,0,0,65535,1.825,0
ms587(a1-c2)-2.tif:0001-0101-1165:1,-37.875,0,0,65535,1.865,1
ms587(a1-c2)-2.tif:0001-0052-1016:1,4.764,0,0,65535,1.981,0
ms587(a1-c2)-2.tif:0001-0055-1056:1,-4.399,0,0,65535,2.261,0
ms587(a1-c2)-3.tif:0002-0198-0902:2,26.565,0,0,65535,2.679,1
ms587(a1-c2)-3.tif:0002-0103-0559:2,14.036,0,0,65535,1.973,0
ms587(a1-c2)-3.tif:0002-0104-0531:2,6.34,0,0,65535,1.423,0
ms587(a1-c2)-3.tif:0002-0275-0668:2,32.005,0,0,65535,1.677,0
ms587(a1-c2)-3.tif:0002-0285-0750:2,30.964,0,0,65535,1.921,1
ms587(a1-c2)-3.tif:0002-0335-0668:2,-48.814,0,0,65535,1.718,1
ms587(a1-c2)-3.tif:0002-0034-0957:2,63.435,0,0,65535,1.87,1
ms587(a1-c2)-3.tif:0002-0621-1298:2,60.255,0,0,65535,1.444,1
ms587(a1-c2)-3.tif:0002-0712-1296:2,-51.34,0,0,65535,1.159,1
ms587(a1-c2)-3.tif:0002-0754-1301:2,60.255,0,0,65535,1.314,0
ms587(a1-c2)-3.tif:0002-0742-1313:2,57.995,0,0,65535,1.599,0
ms587(a1-c2)-3.tif:0002-0946-1020:2,-78.69,0,0,65535,1.851,0
ms587(a1-c2)-3.tif:0002-0974-1018:2,90,0,0,65535,2.263,0
ms587(a1-c2)-3.tif:0002-0940-0686:2,79.216,0,0,65535,3.512,1
ms587(a1-c2)-3.tif:0002-0328-0162:2,-37.569,0,0,65535,2.85,1
ms587(a1-c2)-3.tif:0002-0250-0233:2,-45,0,0,65535,1.479,0
ms587(a1-c2)-4.tif:0002-0290-0307:2,0,0,0,65535,2.883,1
ms587(a1-c2)-4.tif:0002-0351-0146:2,64.799,0,0,65535,3.261,1
