 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,pdc40(a1-c2)-1.tif:0003-0267-0277:3,0.632,46.102,43.729,1.864,3.051,58.570,3.546
2,pdc40(a1-c2)-1.tif:0003-0410-0589:3,0.488,99.153,68.475,1.525,2.203,60.255,2.695
3,pdc40(a1-c2)-1.tif:0003-0426-0570:3,0.402,95.763,71.525,1.864,1.356,38.660,2.260
4,pdc40(a1-c2)-1.tif:0003-0570-0635:3,0.546,107.119,95.254,1.186,2.881,67.620,3.086
5,pdc40(a1-c2)-1.tif:0003-0602-0625:3,0.488,105.424,100.847,1.186,2.373,63.435,2.679
6,pdc40(a1-c2)-1.tif:0003-0522-0736:3,0.488,124.068,87.458,1.525,2.203,57.265,2.695
7,pdc40(a1-c2)-1.tif:0003-0339-0239:3,0.431,39.661,56.780,1.864,1.525,36.027,2.329
8,pdc40(a1-c2)-1.tif:0003-0768-0514:3,0.546,86.102,129.153,2.034,2.203,49.399,3.040
9,pdc40(a1-c2)-1.tif:0001-0765-0530:1,0.431,89.492,128.644,0.847,2.203,72.897,2.394
10,pdc40(a1-c2)-1.tif:0001-0792-0757:1,0.373,128.136,133.220,0.508,2.034,-75.964,2.111
11,pdc40(a1-c2)-1.tif:0001-0221-0996:1,0.316,168.644,36.780,0.339,1.525,-101.310,1.618
12,pdc40(a1-c2)-1.tif:0001-0212-1131:1,0.316,191.695,35.085,0.169,1.695,-78.690,1.710
13,pdc40(a1-c2)-1.tif:0001-0339-1162:1,0.373,196.610,56.610,0.847,1.864,68.199,1.973
14,pdc40(a1-c2)-1.tif:0001-0375-1161:1,0.402,195.932,63.051,1.864,1.186,-34.992,2.194
15,pdc40(a1-c2)-1.tif:0001-0419-0963:1,0.460,162.542,70.000,1.525,2.034,53.130,2.509
16,pdc40(a1-c2)-1.tif:0001-0300-0779:1,0.431,131.525,49.831,1.186,2.203,63.435,2.426
17,pdc40(a1-c2)-1.tif:0001-0213-1193:1,0.689,202.034,34.237,0.339,3.898,84.806,3.857
18,pdc40(a1-c2)-1.tif:0001-0307-1182:1,0.948,198.814,49.831,3.051,4.576,55.305,5.453
19,pdc40(a1-c2)-1.tif:0001-0062-1183:1,0.488,199.661,9.661,1.864,1.864,45.000,2.638
20,pdc40(a1-c2)-1.tif:0001-0299-0839:1,0.575,142.034,49.153,0.339,3.220,-83.991,3.294
21,pdc40(a1-c2)-1.tif:0001-0695-1026:1,0.345,173.220,117.288,1.525,1.186,41.634,1.924
22,pdc40(a1-c2)-1.tif:0001-0682-1070:1,0.488,180.678,114.576,1.356,2.203,60.255,2.635
23,pdc40(a1-c2)-1.tif:0001-0704-0960:1,0.316,162.542,118.644,0.508,1.525,78.690,1.645
24,pdc40(a1-c2)-1.tif:0001-0617-1145:1,0.431,193.729,103.559,0.847,2.203,68.962,2.434
25,pdc40(a1-c2)-1.tif:0001-0611-1114:1,0.402,188.136,102.712,1.356,1.864,53.973,2.260
26,pdc40(a1-c2)-1.tif:0001-0469-0080:1,0.460,12.712,78.644,1.864,1.695,-42.274,2.478
27,pdc40(a1-c2)-1.tif:0001-0469-0131:1,0.287,22.203,78.814,0.000,1.525,90.000,1.469
28,pdc40(a1-c2)-1.tif:0001-0491-0134:1,0.345,22.542,82.373,0.508,1.695,-68.199,1.787
29,pdc40(a1-c2)-1.tif:0001-0511-0162:1,0.546,27.119,85.085,0.678,3.051,-77.471,3.125
