X0,Y0,Y1,Y2
0.00000,250.000,0,70.333
0.16949,254.615,0,72.156
0.33898,255.000,0,76.760
0.50847,255.000,0,78.853
0.67797,255.000,0,72.994
0.84746,255.000,0,74.556
1.01695,251.187,0,83.920
1.18644,251.050,0,75.675
1.35593,245.692,0,75.464
1.52542,251.827,0,74.533
1.69492,255.000,0,70.593
1.86441,255.000,0,75.840
2.03390,255.000,0,73.578
2.20339,255.000,0,75.952
2.37288,255.000,0,88.717
2.54237,222.333,0,85.667
2.71186,157.173,0,98.139
2.88136,132.365,0,108.696
3.05085,121.493,0,112.653
3.22034,96.295,0,153.217
3.38983,98.556,0,188.358
3.55932,89.356,0,191.751
3.72881,86.989,0,167.870
3.89831,72.974,0,157.647
4.06780,72.493,0,179.053
4.23729,58.395,0,172.074
4.40678,53.041,0,166.013
4.57627,55.747,0,180.187
4.74576,64.841,0,174.897
4.91525,60.024,0,166.570
5.08475,66.333,0,162.889
