X0,Y0,Y1,Y2
0.00000,147.222,0,72.111
0.16949,196.011,0,77.411
0.33898,225.777,0,83.050
0.50847,229.886,0,90.945
0.67797,222.598,0,98.046
0.84746,231.279,0,102.345
1.01695,245.197,0,99.506
1.18644,255.000,0,97.761
1.35593,253.672,0,98.691
1.52542,245.241,0,108.575
1.69492,231.063,0,130.416
1.86441,208.353,0,163.650
2.03390,201.670,0,213.633
2.20339,189.397,0,243.916
2.37288,164.012,0,248.408
2.54237,127.764,0,253.352
2.71186,111.289,0,237.160
2.88136,100.585,0,202.843
3.05085,104.636,0,161.305
3.22034,128.334,0,161.508
3.38983,166.449,0,184.425
3.55932,140.818,0,212.794
3.72881,108.410,0,235.199
3.89831,91.796,0,255.000
4.06780,99.381,0,254.935
4.23729,104.822,0,252.994
4.40678,107.561,0,251.005
4.57627,120.156,0,249.041
4.74576,140.764,0,252.911
4.91525,129.667,0,229.000
