 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Control6.lif - Series005:0001-0411-0190:z:1/19 - Series005,1.041,111.675,39.974,199.631,45.695,98.846,40.236,4.096
2,Control6.lif - Series005:0001-0390-0206:z:1/19 - Series005,0.810,185.514,40.500,255.000,49.363,93.735,30.256,3.177
3,Control6.lif - Series005:0001-0407-0160:z:1/19 - Series005,0.868,163.948,33.500,251.464,38.480,97.944,8.130,3.420
4,Control6.lif - Series005:0001-0508-0181:z:1/19 - Series005,0.636,114.618,63.000,147.600,43.531,122.294,16.699,2.511
5,Control6.lif - Series005:0001-0449-0353:z:1/19 - Series005,0.578,212.090,75.500,255.000,85.017,107.985,35.538,2.069
6,Control6.lif - Series005:0001-0442-0366:z:1/19 - Series005,0.694,199.145,81.760,255.000,87.963,106.421,29.055,2.582
7,Control6.lif - Series005:0004-0346-0403:z:4/19 - Series005,0.925,57.785,7.333,108.813,97.122,83.333,28.301,3.551
8,Control6.lif - Series005:0004-0335-0418:z:4/19 - Series005,0.521,145.770,101.667,208.500,100.689,80.608,69.444,1.952
9,Control6.lif - Series005:0004-0260-0353:z:4/19 - Series005,0.752,127.520,64.667,212.000,84.977,62.570,30.964,2.983
10,Control6.lif - Series005:0004-0262-0337:z:4/19 - Series005,0.636,212.098,99.667,255.000,81.089,63.252,5.711,2.506
11,Control6.lif - Series005:0004-0401-0629:z:4/19 - Series005,0.578,229.614,108.333,255.000,151.235,96.601,83.660,2.280
12,Control6.lif - Series005:0004-0389-0641:z:4/19 - Series005,0.983,49.712,18.042,101.810,154.080,93.675,52.431,3.944
13,Control6.lif - Series005:0004-0274-0651:z:4/19 - Series005,0.636,109.204,51.333,153.749,156.766,65.857,45.000,2.497
14,Control6.lif - Series005:0019-0539-0559:z:19/19 - Series005,1.215,154.959,15.040,244.413,134.440,129.750,57.095,4.827
15,Control6.lif - Series005:0019-0519-0572:z:19/19 - Series005,1.099,141.855,42.000,226.074,137.566,124.820,64.799,4.446
16,Control6.lif - Series005:0019-0319-0454:z:19/19 - Series005,0.636,188.890,99.444,255.000,109.227,76.800,73.301,2.358
17,Control6.lif - Series005:0019-0331-0451:z:19/19 - Series005,0.405,72.344,39.000,115.889,108.426,79.686,80.538,1.498
18,Control6.lif - Series005:0007-0448-0049:z:7/19 - Series005,0.694,122.053,35.000,190.795,11.744,107.784,10.305,2.548
19,Control6.lif - Series005:0007-0451-0033:z:7/19 - Series005,0.636,136.935,95.133,161.167,7.856,108.666,5.711,2.417
20,Control6.lif - Series005:0007-0464-0075:z:7/19 - Series005,0.636,149.808,62.083,203.562,18.058,111.612,23.962,2.316
21,Control6.lif - Series005:0007-0469-0065:z:7/19 - Series005,0.636,145.984,50.000,253.708,15.612,112.734,35.538,2.302
22,Control6.lif - Series005:0007-0508-0182:z:7/19 - Series005,0.752,135.967,70.222,174.083,43.651,122.194,14.036,2.929
23,Control6.lif - Series005:0007-0337-0308:z:7/19 - Series005,0.521,154.165,38.125,221.000,74.134,80.988,-66.801,1.943
24,Control6.lif - Series005:0007-0326-0302:z:7/19 - Series005,0.521,153.699,55.438,237.492,72.511,78.433,-45.000,2.002
25,Control6.lif - Series005:0012-0282-0739:z:12/19 - Series005,0.463,222.853,85.000,255.000,177.890,67.901,50.194,1.704
26,Control6.lif - Series005:0012-0273-0749:z:12/19 - Series005,0.925,19.438,10.622,31.911,180.215,65.697,65.225,3.514
27,Control6.lif - Series005:0016-0093-0819:z:16/19 - Series005,0.752,225.600,136.444,255.000,197.010,22.407,55.008,2.870
28,Control6.lif - Series005:0016-0114-0781:z:16/19 - Series005,0.636,207.321,137.000,255.000,187.911,27.417,56.310,2.447
29,Control6.lif - Series005:0016-0106-0816:z:16/19 - Series005,0.694,178.398,82.000,252.460,196.408,25.533,63.435,2.582
30,Control6.lif - Series004:0002-0542-0495:z:2/18 - Series004,0.752,156.378,75.000,198.771,118.987,130.471,15.255,2.858
31,Control6.lif - Series004:0002-0481-0361:z:2/18 - Series004,0.578,144.200,88.000,196.833,86.821,115.801,18.435,2.282
32,Control6.lif - Series004:0002-0486-0346:z:2/18 - Series004,0.578,67.683,30.500,139.278,83.333,116.943,12.529,2.246
33,Control6.lif - Series004:0002-0370-0623:z:2/18 - Series004,0.578,147.260,61.500,200.759,149.771,89.045,-69.444,2.131
34,Control6.lif - Series004:0002-0294-0668:z:2/18 - Series004,0.636,114.739,54.000,170.500,160.474,70.647,16.699,2.435
35,Control6.lif - Series004:0002-0292-0757:z:2/18 - Series004,0.405,147.565,57.000,172.333,182.179,70.166,59.036,1.507
36,Control6.lif - Series004:0011-0440-0746:z:11/18 - Series004,0.578,118.907,72.000,170.926,179.233,105.640,36.870,2.237
37,Control6.lif - Series004:0011-0444-0733:z:11/18 - Series004,0.578,57.397,37.500,77.056,176.166,106.842,26.565,2.207
38,Control6.lif - Series004:0018-0353-0768:z:18/18 - Series004,0.636,211.462,123.500,255.000,184.584,84.897,53.130,2.405
39,Control6.lif - Series004:0001-0594-0033:z:1/18 - Series004,0.694,129.136,54.222,186.110,8.057,143.058,26.565,2.761
40,Control6.lif - Series004:0001-0593-0046:z:1/18 - Series004,0.694,105.298,38.000,138.909,11.103,142.577,16.699,2.637
41,Control6.lif - Series004:0001-0545-0053:z:1/18 - Series004,0.810,135.805,21.111,246.110,12.747,131.153,36.027,3.207
42,Control6.lif - Series004:0001-0538-0071:z:1/18 - Series004,0.752,45.403,15.000,95.790,17.035,129.549,37.875,2.824
43,Control6.lif - Series004:0001-0514-0197:z:1/18 - Series004,0.636,143.243,88.827,187.842,47.419,123.617,29.055,2.438
44,Control6.lif - Series004:0001-0485-0346:z:1/18 - Series004,0.578,132.119,86.284,196.901,83.253,116.763,12.529,2.236
45,Control6.lif - Series004:0001-0481-0360:z:1/18 - Series004,0.521,142.281,73.556,187.167,86.660,115.801,14.036,2.004
46,Control6.lif - Series004:0001-0498-0258:z:1/18 - Series004,0.578,73.444,54.000,97.539,62.089,119.929,35.538,2.116
47,Control6.lif - Series004:0001-0502-0378:z:1/18 - Series004,0.405,166.621,83.667,249.167,91.029,120.811,45.000,1.532
48,Control6.lif - Series004:0001-0499-0387:z:1/18 - Series004,0.578,119.031,57.667,180.346,93.194,119.970,32.005,2.259
49,Control6.lif - Series004:0001-0441-0475:z:1/18 - Series004,0.810,154.493,48.000,250.000,114.358,106.221,4.399,3.143
50,Control6.lif - Series004:0001-0547-0480:z:1/18 - Series004,0.810,178.908,77.667,252.570,115.480,131.634,28.610,3.013
51,Control6.lif - Series004:0001-0542-0496:z:1/18 - Series004,0.868,121.254,60.333,193.990,119.368,130.471,22.620,3.275
52,Control6.lif - Series004:0001-0568-0455:z:1/18 - Series004,0.810,153.366,68.556,246.387,109.468,136.604,22.620,3.022
53,Control6.lif - Series004:0001-0564-0471:z:1/18 - Series004,0.694,141.868,23.667,225.116,113.356,135.762,0.000,2.727
54,Control6.lif - Series004:0001-0370-0622:z:1/18 - Series004,0.578,142.252,83.667,173.889,149.711,89.185,-83.660,2.178
55,Control6.lif - Series004:0001-0359-0615:z:1/18 - Series004,0.578,145.697,69.333,222.610,147.988,86.420,-45.000,2.053
56,Control6.lif - Series004:0001-0298-0653:z:1/18 - Series004,0.521,199.201,101.556,255.000,156.966,71.549,14.036,1.965
57,Control6.lif - Series004:0001-0296-0666:z:1/18 - Series004,0.636,64.121,48.920,78.800,160.333,71.108,23.962,2.296
58,Control6.lif - Series004:0001-0304-0751:z:1/18 - Series004,0.405,141.052,78.556,180.543,180.616,72.992,63.435,1.506
59,Control6.lif - Series004:0001-0293-0757:z:1/18 - Series004,0.521,119.358,30.667,179.632,182.099,70.426,74.055,1.927
60,Control6.lif - Series004:0001-0757-0114:z:1/18 - Series004,0.810,29.836,11.493,52.834,27.377,181.978,28.610,3.155
61,Control6.lif - Series004:0001-0764-0095:z:1/18 - Series004,0.925,147.089,76.667,222.400,22.968,183.782,28.301,3.551
62,Control6.lif - Series004:0001-0424-0952:z:1/18 - Series004,0.868,165.187,70.095,251.810,229.117,101.972,50.711,3.409
63,Control6.lif - Series004:0001-0436-0944:z:1/18 - Series004,0.694,186.133,19.000,255.000,227.032,105.018,70.017,2.740
64,Control6.lif - Series004:0012-0619-0411:z:12/18 - Series004,0.694,142.345,14.000,243.331,98.846,148.950,30.964,2.726
65,Control6.lif - Series004:0012-0650-0375:z:12/18 - Series004,0.983,197.232,89.667,255.000,90.348,156.566,11.310,3.774
66,Control6.lif - Series004:0013-0797-0321:z:13/18 - Series004,0.983,230.007,117.500,255.000,77.140,191.739,14.931,3.882
67,Control6.lif - Series004:0013-0806-0299:z:13/18 - Series004,0.810,99.655,45.500,195.651,71.849,193.783,21.038,3.195
68,Control6.lif - Series003:0001-0418-0460:z:1/16 - Series003,0.868,77.774,53.000,128.541,110.450,100.409,33.690,3.369
