 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,slice1-100um-glutamate.lif - Series001:0001-0301-0750:z:1/26 - Series001,0.455,202.670,68.333,255.000,135.402,54.293,0.000,2.405
2,slice1-100um-glutamate.lif - Series001:0001-0293-0724:z:1/26 - Series001,0.390,224.408,95.444,255.000,130.712,52.970,-29.055,1.939
3,slice1-100um-glutamate.lif - Series001:0024-0242-0624:z:24/26 - Series001,0.553,101.524,25.222,179.444,112.494,43.591,39.806,2.818
4,slice1-100um-glutamate.lif - Series001:0024-0259-0610:z:24/26 - Series001,0.455,201.231,76.000,255.000,110.209,46.717,85.601,2.297
5,slice1-100um-glutamate.lif - Series001:0024-0218-0656:z:24/26 - Series001,0.488,148.589,30.286,255.000,118.386,39.442,41.987,2.557
6,slice1-100um-glutamate.lif - Series001:0026-0129-0173:z:26/26 - Series001,0.521,196.667,86.855,241.632,31.176,23.329,-19.654,2.737
7,slice1-100um-glutamate.lif - Series001:0026-0124-0154:z:26/26 - Series001,0.521,193.839,39.867,255.000,27.813,22.315,-7.595,2.703
8,slice1-100um-glutamate.lif - Series001:0019-0869-0087:z:19/26 - Series001,0.748,128.496,54.166,221.432,15.748,156.689,56.310,3.998
9,slice1-100um-glutamate.lif - Series001:0019-0891-0074:z:19/26 - Series001,0.618,136.282,44.910,205.478,13.506,160.693,79.992,3.247
10,slice1-100um-glutamate.lif - Series001:0013-0213-0338:z:13/26 - Series001,1.464,185.495,57.254,255.000,61.027,38.420,-50.528,7.869
11,slice1-100um-glutamate.lif - Series001:0013-0157-0290:z:13/26 - Series001,0.586,244.832,108.444,255.000,52.489,28.319,-49.764,3.066
12,slice1-100um-glutamate.lif - Series001:0013-0423-0393:z:13/26 - Series001,0.651,108.009,16.000,240.197,70.948,76.419,-21.251,3.395
13,slice1-100um-glutamate.lif - Series001:0013-0398-0359:z:13/26 - Series001,1.204,41.388,4.963,157.311,64.815,71.910,-23.806,6.569
14,slice1-100um-glutamate.lif - Series001:0013-0382-0210:z:13/26 - Series001,0.748,148.615,22.000,255.000,37.999,68.903,32.276,4.003
15,slice1-100um-glutamate.lif - Series001:0014-0690-0292:z:14/26 - Series001,0.618,140.478,65.000,194.963,52.730,124.459,70.560,3.195
16,slice1-100um-glutamate.lif - Series001:0014-0660-0308:z:14/26 - Series001,0.651,166.376,50.333,223.934,55.676,119.108,68.749,3.350
17,slice1-100um-glutamate.lif - Series001:0011-0773-0600:z:11/26 - Series001,0.716,216.448,76.493,255.000,108.285,139.550,-39.094,3.776
18,slice1-100um-glutamate.lif - Series001:0011-0792-0623:z:11/26 - Series001,0.553,158.662,99.000,217.333,112.434,142.977,-42.510,2.896
19,slice1-100um-glutamate.lif - Series001:0018-0750-0616:z:18/26 - Series001,0.488,227.885,57.667,255.000,111.231,135.221,-59.744,2.476
20,slice1-100um-glutamate.lif - Series001:0018-0762-0623:z:18/26 - Series001,0.293,216.412,96.000,255.000,112.494,137.506,129.806,1.468
21,slice1-100um-glutamate.lif - Series001:0011-0886-0660:z:11/26 - Series001,0.455,140.648,33.841,255.000,119.048,159.933,77.005,2.335
22,slice1-100um-glutamate.lif - Series001:0011-0669-0866:z:11/26 - Series001,0.390,237.848,142.667,255.000,156.265,120.671,-41.186,1.972
23,slice1-100um-glutamate.lif - Series001:0001-0524-0620:z:1/26 - Series001,0.488,237.634,189.977,255.000,112.013,94.637,-39.289,2.573
24,slice1-100um-glutamate.lif - Series001:0001-0514-0610:z:1/26 - Series001,0.293,226.512,135.667,255.000,109.969,92.713,-45.000,1.531
25,slice1-100um-glutamate.lif - Series001:0009-0653-0361:z:9/26 - Series001,0.488,242.803,166.000,255.000,65.115,117.785,102.095,2.571
26,slice1-100um-glutamate.lif - Series001:0009-0876-0462:z:9/26 - Series001,0.651,126.349,70.054,192.756,83.393,158.189,-38.157,3.343
27,slice1-100um-glutamate.lif - Series001:0009-0873-0667:z:9/26 - Series001,0.293,221.943,163.000,255.000,120.250,157.588,74.055,1.371
28,slice1-100um-glutamate.lif - Series001:0009-0773-0600:z:9/26 - Series001,0.716,123.366,58.111,170.076,108.225,139.430,-37.405,3.776
29,slice1-100um-glutamate.lif - Series001:0009-0885-0661:z:9/26 - Series001,0.325,163.244,103.667,245.255,119.288,159.632,90.000,1.568
30,slice1-100um-glutamate.lif - Series001:0013-0673-0577:z:13/26 - Series001,0.683,179.415,111.667,255.000,104.137,121.392,-45.000,3.571
31,slice1-100um-glutamate.lif - Series001:0011-0227-0373:z:11/26 - Series001,0.488,171.088,51.333,244.540,67.340,40.945,-4.086,2.528
32,slice1-100um-glutamate.lif - Series001:0011-0225-0229:z:11/26 - Series001,0.358,238.635,152.333,255.000,41.306,40.645,-36.870,1.734
33,slice1-100um-glutamate.lif - Series001:0005-0891-0335:z:5/26 - Series001,0.553,236.515,95.333,255.000,60.546,160.654,47.490,2.896
34,slice1-100um-glutamate.lif - Series001:0001-0692-0033:z:1/26 - Series001,0.521,244.587,133.778,255.000,6.073,124.940,3.814,2.656
35,slice1-100um-glutamate.lif - Series001:0001-0691-0016:z:1/26 - Series001,0.423,192.205,105.889,242.778,2.946,124.579,180.000,2.165
36,slice1-100um-glutamate.lif - Series001:0001-0645-0110:z:1/26 - Series001,0.586,218.785,152.000,255.000,20.022,116.342,106.390,3.156
37,slice1-100um-glutamate.lif - Series001:0001-0644-0075:z:1/26 - Series001,0.618,217.760,175.778,255.000,13.468,116.162,-9.462,3.282
38,slice1-100um-glutamate.lif - Series001:0001-0624-0104:z:1/26 - Series001,0.521,233.900,191.133,255.000,18.879,112.674,101.310,2.713
39,slice1-100um-glutamate.lif - Series001:0013-0184-0432:z:13/26 - Series001,0.586,211.172,26.000,255.000,77.787,33.054,-35.538,2.978
40,slice1-100um-glutamate.lif - Series002:0001-0423-0741:z:1/33 - Series002,0.716,139.860,72.000,225.659,133.778,76.359,-54.162,3.872
41,slice1-100um-glutamate.lif - Series002:0001-0382-0747:z:1/33 - Series002,0.911,92.248,47.333,115.584,134.800,69.024,90.000,4.810
42,slice1-100um-glutamate.lif - Series002:0001-0453-0755:z:1/33 - Series002,0.716,78.831,59.333,102.333,136.364,81.770,-63.435,3.764
43,slice1-100um-glutamate.lif - Series002:0001-0618-0875:z:1/33 - Series002,0.813,221.567,81.556,255.000,157.768,111.412,-48.366,4.344
44,slice1-100um-glutamate.lif - Series002:0014-0546-0339:z:14/33 - Series002,0.390,228.581,113.778,255.000,61.147,98.485,-84.806,1.928
45,slice1-100um-glutamate.lif - Series002:0014-0561-0347:z:14/33 - Series002,0.390,204.351,64.000,255.000,62.650,101.190,-68.199,1.943
46,slice1-100um-glutamate.lif - Series002:0014-0601-0368:z:14/33 - Series002,0.488,229.423,84.111,255.000,66.498,108.345,-59.744,2.476
47,slice1-100um-glutamate.lif - Series002:0014-0613-0369:z:14/33 - Series002,0.455,209.277,70.000,255.000,66.558,110.570,-48.013,2.387
48,slice1-100um-glutamate.lif - Series002:0013-0817-0423:z:13/33 - Series002,0.878,231.860,122.444,255.000,76.299,147.367,-70.201,4.716
49,slice1-100um-glutamate.lif - Series002:0002-0537-0489:z:2/33 - Series002,0.455,248.307,201.667,255.000,88.264,96.982,-41.987,2.387
50,slice1-100um-glutamate.lif - Series003:0017-0340-0225:z:17/33 - Series003,0.358,152.406,74.667,190.360,40.554,61.358,45.000,1.873
51,slice1-100um-glutamate.lif - Image005:0001-0697-0738:c:1/2 - Image005,0.521,234.565,109.000,255.000,133.237,125.782,31.608,2.745
52,slice1-100um-glutamate.lif - Image005:0001-0480-0580:c:1/2 - Image005,0.716,249.375,182.778,255.000,104.678,86.640,-48.814,3.835
53,slice1-100um-glutamate.lif - Image005:0001-0389-0606:c:1/2 - Image005,0.325,253.200,237.000,255.000,109.367,70.226,63.435,1.568
54,slice1-100um-glutamate.lif - Image005:0001-0361-0901:c:1/2 - Image005,0.423,253.214,231.778,255.000,162.578,65.055,-38.660,2.217
55,slice1-100um-glutamate.lif - Image005:0001-0637-0346:c:1/2 - Image005,0.455,237.231,88.000,255.000,62.470,114.959,90.000,2.288
56,slice1-100um-glutamate.lif - Image005:0001-0657-0337:c:1/2 - Image005,0.944,142.252,47.667,240.286,60.967,118.627,71.565,5.096
