 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice1-2doses.lif - Series005:0001-0306-0553:z:1/32 - Series005,0.846,142.241,59.000,196.256,99.793,55.240,-24.444,4.479
2,Slice1-2doses.lif - Series005:0001-0293-0523:z:1/32 - Series005,0.716,33.700,16.750,64.000,94.291,52.850,-25.346,3.874
3,Slice1-2doses.lif - Series005:0001-0308-0769:z:1/32 - Series005,0.586,165.588,77.000,207.330,138.754,55.420,-35.538,3.127
4,Slice1-2doses.lif - Series005:0001-0325-0724:z:1/32 - Series005,0.521,109.463,45.000,151.000,130.547,58.712,-39.289,2.634
5,Slice1-2doses.lif - Series005:0001-0310-0707:z:1/32 - Series005,0.553,87.544,38.250,139.250,127.525,55.916,-29.745,2.908
6,Slice1-2doses.lif - Series005:0001-0342-0675:z:1/32 - Series005,0.618,122.930,37.000,171.481,121.753,61.598,-33.690,3.252
7,Slice1-2doses.lif - Series005:0001-0141-0646:z:1/32 - Series005,0.618,161.762,75.000,235.528,116.387,25.433,-29.358,3.233
8,Slice1-2doses.lif - Series005:0001-0202-0509:z:1/32 - Series005,0.586,138.950,53.750,229.135,91.811,36.436,-40.236,3.072
9,Slice1-2doses.lif - Series005:0001-0187-0495:z:1/32 - Series005,0.553,152.229,90.000,253.875,89.196,33.820,-42.510,2.936
10,Slice1-2doses.lif - Series005:0001-0052-0478:z:1/32 - Series005,0.553,128.307,37.000,215.887,86.264,9.289,-39.806,2.887
11,Slice1-2doses.lif - Series005:0007-0209-0635:z:7/32 - Series005,0.683,150.429,28.500,221.688,114.493,37.698,-30.466,3.636
12,Slice1-2doses.lif - Series005:0007-0194-0618:z:7/32 - Series005,0.423,163.487,97.500,250.667,111.472,34.993,-48.366,2.172
13,Slice1-2doses.lif - Series005:0007-0092-0750:z:7/32 - Series005,0.488,167.937,55.000,223.500,135.372,16.595,-24.775,2.583
14,Slice1-2doses.lif - Series005:0007-0102-0770:z:7/32 - Series005,0.521,160.265,92.000,199.930,138.844,18.308,-53.130,2.761
15,Slice1-2doses.lif - Series005:0007-0326-0723:z:7/32 - Series005,0.521,134.715,91.250,167.680,130.411,58.847,-24.775,2.622
16,Slice1-2doses.lif - Series005:0015-0034-0445:z:15/32 - Series005,0.683,164.420,103.000,192.938,80.267,6.223,-40.914,3.580
17,Slice1-2doses.lif - Series005:0015-0044-0485:z:15/32 - Series005,0.553,131.512,103.000,160.500,87.482,7.891,-32.735,2.954
18,Slice1-2doses.lif - Series005:0015-0057-0504:z:15/32 - Series005,0.488,165.042,67.000,221.000,90.954,10.372,-53.973,2.507
19,Slice1-2doses.lif - Series005:0015-0130-0697:z:15/32 - Series005,0.488,147.765,80.735,206.671,125.812,23.313,-24.775,2.546
20,Slice1-2doses.lif - Series005:0015-0140-0720:z:15/32 - Series005,0.781,167.757,46.000,230.043,129.870,25.207,-28.811,4.161
21,Slice1-2doses.lif - Series005:0015-0124-0590:z:15/32 - Series005,0.325,165.683,94.000,207.407,106.466,22.457,-20.556,1.626
22,Slice1-2doses.lif - Series005:0015-0240-0708:z:15/32 - Series005,0.390,126.599,77.500,168.917,127.570,43.335,-21.801,1.896
23,Slice1-2doses.lif - Series005:0015-0181-0649:z:15/32 - Series005,0.390,149.478,105.000,175.174,117.018,32.603,-24.444,2.061
24,Slice1-2doses.lif - Series005:0021-0206-0646:z:21/32 - Series005,0.878,158.757,38.750,228.230,116.477,37.067,-69.444,4.656
25,Slice1-2doses.lif - Series005:0021-0179-0634:z:21/32 - Series005,0.683,108.540,31.800,208.706,114.313,32.152,-58.570,3.681
26,Slice1-2doses.lif - Series005:0021-0049-0601:z:21/32 - Series005,0.455,81.329,36.500,109.462,108.405,8.793,-22.620,2.381
27,Slice1-2doses.lif - Series005:0021-0362-0733:z:21/32 - Series005,0.521,158.680,69.500,240.741,132.215,65.206,-31.608,2.753
28,Slice1-2doses.lif - Series005:0021-0290-0597:z:21/32 - Series005,0.683,135.401,70.000,209.450,107.774,52.174,-50.906,3.649
29,Slice1-2doses.lif - Series005:0021-0347-0514:z:21/32 - Series005,0.455,125.363,84.500,151.396,92.803,62.590,-45.000,2.296
30,Slice1-2doses.lif - Series005:0023-0035-0584:z:23/32 - Series005,0.521,141.138,81.000,190.680,105.204,6.403,-36.870,2.634
31,Slice1-2doses.lif - Series005:0003-0352-0247:z:3/32 - Series005,0.553,115.792,63.500,165.057,44.643,63.447,-34.695,2.904
32,Slice1-2doses.lif - Series005:0003-0334-0231:z:3/32 - Series005,0.488,109.167,68.750,149.821,41.622,60.200,-57.529,2.476
33,Slice1-2doses.lif - Series005:0011-0030-0227:z:11/32 - Series005,0.553,104.732,45.500,140.111,40.900,5.501,-34.695,2.927
34,Slice1-2doses.lif - Series005:0011-0018-0213:z:11/32 - Series005,0.455,134.162,73.500,178.476,38.420,3.202,-61.390,2.340
35,Slice1-2doses.lif - Series005:0016-0248-0353:z:16/32 - Series005,0.976,141.461,50.084,220.565,63.672,44.688,-32.005,5.153
36,Slice1-2doses.lif - Series005:0001-0452-0385:z:1/32 - Series005,0.944,179.820,66.000,255.000,69.444,81.530,-30.256,5.012
37,Slice1-2doses.lif - Series005:0001-0334-0229:z:1/32 - Series005,0.423,121.487,51.000,222.000,41.396,60.245,-41.634,2.172
38,Slice1-2doses.lif - Series005:0001-0350-0250:z:1/32 - Series005,0.683,141.385,18.000,243.760,45.094,63.131,-36.870,3.608
39,Slice1-2doses.lif - Series005:0001-0318-0543:z:1/32 - Series005,0.813,109.564,29.000,160.750,98.034,57.359,-19.179,4.392
40,Slice1-2doses.lif - Series005:0001-0948-0396:z:1/32 - Series005,0.944,160.565,69.000,218.643,71.429,171.086,-77.471,4.989
41,Slice1-2doses.lif - Series005:0005-0618-0344:z:5/32 - Series005,0.553,78.768,27.250,206.000,62.049,111.472,-60.255,2.908
42,Slice1-2doses.lif - Series005:0005-0599-0332:z:5/32 - Series005,0.455,119.831,39.000,166.343,59.885,108.045,-51.340,2.310
43,Slice1-2doses.lif - Series005:0005-0948-0398:z:5/32 - Series005,0.911,152.899,76.000,206.963,71.789,171.086,-81.573,4.923
44,Slice1-2doses.lif - Series005:0013-0432-0143:z:13/32 - Series005,0.911,153.875,92.000,255.000,25.794,78.012,-34.287,4.803
