 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice3-3doses.lif - Image005:0449-0697,0.748,204.066,54.250,255.000,125.676,81.034,0.000,3.879
2,Slice3-3doses.lif - Image005:0447-0669,0.521,208.329,28.000,255.000,120.761,80.718,-3.814,2.712
3,Slice3-3doses.lif - Image005:0410-0766,0.683,227.861,105.000,255.000,138.258,73.909,20.225,3.622
4,Slice3-3doses.lif - Image005:0408-0789,0.521,183.512,59.000,255.000,142.226,73.503,15.945,2.626
5,Slice3-3doses.lif - Image005:0290-0279,1.236,188.786,51.941,255.000,50.325,52.264,-11.004,6.599
6,Slice3-3doses.lif - Image005:0212-0254,0.618,231.120,85.000,255.000,45.815,38.194,-16.390,3.172
7,Slice3-3doses.lif - Image005:0547-0197,1.009,220.983,101.000,255.000,35.624,98.665,15.422,5.426
8,Slice3-3doses.lif - Image005:0541-0248,2.147,183.931,64.418,255.000,44.643,97.673,11.482,11.780
9,Slice3-3doses.lif - Image005:0832-0318,0.488,222.007,43.000,255.000,57.449,149.937,-77.905,2.494
10,Slice3-3doses.lif - Image005:0714-0904,0.553,187.504,71.000,255.000,163.014,128.788,0.000,2.796
11,Slice3-3doses.lif - Image005:0675-0028,0.488,208.400,75.000,255.000,4.915,121.753,-65.225,2.546
12,Slice3-3doses.lif - Image005:0498-0280,0.586,208.458,56.000,255.000,50.550,89.737,-14.036,3.062
13,Slice3-3doses.lif - Image005:0152-0843,0.521,226.413,96.750,255.000,152.101,27.327,-8.130,2.640
14,Slice3-3doses.lif - Image005:0807-0069,0.488,194.414,45.000,255.000,12.536,145.563,24.775,2.583
15,Slice3-3doses.lif - Image005:0979-0151,0.553,224.118,145.500,255.000,27.146,176.497,60.255,2.908
16,Slice3-3doses.lif - Image005:0571-0480,1.334,134.102,74.000,184.518,86.445,102.859,-11.310,7.252
17,Slice3-3doses.lif - Image004:0534-0608,0.781,217.472,123.163,255.000,109.788,96.320,-23.199,4.153
18,Slice3-3doses.lif - Image004:0608-0512,0.716,184.060,61.323,247.762,92.472,109.728,27.759,3.878
19,Slice3-3doses.lif - Image004:0625-0448,0.944,231.985,139.000,255.000,80.808,112.734,8.130,5.102
20,Slice3-3doses.lif - Image004:0637-0415,0.716,189.326,71.000,255.000,74.856,115.019,8.130,3.759
21,Slice3-3doses.lif - Image004:0703-0328,0.911,203.516,87.333,255.000,59.103,126.864,12.995,4.813
22,Slice3-3doses.lif - Image004:0588-0533,0.651,197.337,32.222,255.000,96.080,106.241,29.358,3.341
23,Slice3-3doses.lif - Image004:0531-0458,0.748,195.507,106.000,255.000,82.552,95.779,0.000,3.968
24,Slice3-3doses.lif - Image004:0196-0709,0.521,122.473,55.667,197.978,127.946,35.474,19.654,2.702
25,Slice3-3doses.lif - Image004:0468-0893,0.521,86.048,6.000,159.691,161.135,84.536,3.576,2.776
26,Slice3-3doses.lif - Image004:0463-0918,0.553,187.984,52.556,250.444,165.645,83.514,3.576,2.889
27,Slice3-3doses.lif - Image004:0942-0383,1.106,117.476,65.333,181.743,69.144,169.974,97.125,5.952
28,Slice3-3doses.lif - Image004:0530-0580,0.488,204.407,82.444,248.111,104.678,95.539,0.000,2.525
29,Slice3-3doses.lif - Image004:0547-0495,0.488,198.117,48.000,255.000,89.286,98.785,-4.086,2.537
30,Slice3-3doses.lif - Image004:0080-0075,0.618,76.139,37.000,155.103,13.528,14.490,42.709,3.231
31,Slice3-3doses.lif - Image004:0098-0057,0.553,169.288,45.333,244.500,10.342,17.857,47.726,2.807
32,Slice3-3doses.lif - Image004:0123-0115,0.651,66.756,7.956,158.508,20.863,22.246,74.476,3.471
33,Slice3-3doses.lif - Image004:0146-0237,0.911,150.909,75.889,245.667,42.809,26.335,15.068,4.958
34,Slice3-3doses.lif - Image004:0231-0295,0.911,162.541,83.667,232.249,53.391,41.847,51.009,4.958
35,Slice3-3doses.lif - Series003:0001-0431-0592:z:1/58 - Series003,0.813,242.105,75.000,255.000,106.692,77.742,4.764,4.344
36,Slice3-3doses.lif - Series003:0001-0597-0632:z:1/58 - Series003,0.716,245.994,204.583,255.000,113.997,107.684,-25.346,3.792
37,Slice3-3doses.lif - Series003:0001-0605-0654:z:1/58 - Series003,0.553,189.915,106.246,250.500,117.965,109.217,-34.695,2.852
38,Slice3-3doses.lif - Series003:0001-0431-0680:z:1/58 - Series003,0.488,224.173,154.122,255.000,122.745,77.787,-36.027,2.507
39,Slice3-3doses.lif - Series003:0001-0759-0468:z:1/58 - Series003,0.911,179.890,80.613,255.000,84.370,136.950,-65.376,4.808
40,Slice3-3doses.lif - Series003:0001-0775-0492:z:1/58 - Series003,0.553,196.629,83.500,255.000,88.654,139.791,-10.620,2.936
41,Slice3-3doses.lif - Series003:0001-0807-0292:z:1/58 - Series003,0.455,190.912,71.000,255.000,52.760,145.518,-45.000,2.360
42,Slice3-3doses.lif - Series003:0001-0913-0370:z:1/58 - Series003,0.618,235.114,132.000,255.000,66.829,164.683,86.820,3.252
43,Slice3-3doses.lif - Series003:0001-0935-0371:z:1/58 - Series003,0.748,212.809,125.822,255.000,66.919,168.606,87.274,3.882
44,Slice3-3doses.lif - Series003:0001-0839-0500:z:1/58 - Series003,0.618,225.066,127.500,255.000,90.097,151.290,-47.291,3.258
45,Slice3-3doses.lif - Series003:0001-0447-0993:z:1/58 - Series003,0.553,220.119,58.000,255.000,178.977,80.628,0.000,2.796
46,Slice3-3doses.lif - Series003:0006-0880-0658:z:6/58 - Series003,0.683,134.797,10.667,255.000,118.867,158.730,17.526,3.651
47,Slice3-3doses.lif - Series003:0006-0590-0822:z:6/58 - Series003,0.878,180.562,76.778,251.639,148.208,106.602,-30.579,4.640
48,Slice3-3doses.lif - Series003:0006-0822-0985:z:6/58 - Series003,1.009,105.434,18.000,255.000,177.850,148.389,9.782,5.358
49,Slice3-3doses.lif - Series003:0006-0743-0803:z:6/58 - Series003,0.358,250.053,231.111,255.000,144.901,134.079,78.690,1.867
50,Slice3-3doses.lif - Series003:0006-0758-0811:z:6/58 - Series003,0.423,229.729,175.025,255.000,146.405,136.905,-52.125,2.141
51,Slice3-3doses.lif - Series003:0006-0709-0999:z:6/58 - Series003,0.586,217.656,14.000,255.000,180.315,128.006,-40.236,2.987
52,Slice3-3doses.lif - Series003:0010-0709-0561:z:10/58 - Series003,0.455,221.351,147.130,255.000,101.251,127.886,63.435,2.369
53,Slice3-3doses.lif - Series003:0010-0735-0545:z:10/58 - Series003,0.455,184.476,108.444,240.282,98.304,132.636,48.013,2.387
54,Slice3-3doses.lif - Series003:0010-0819-0886:z:10/58 - Series003,0.651,244.917,145.222,255.000,159.752,147.787,-57.995,3.506
55,Slice3-3doses.lif - Series003:0010-0895-0788:z:10/58 - Series003,1.432,187.846,60.149,255.000,142.136,161.376,-7.943,7.772
56,Slice3-3doses.lif - Series003:0010-0587-0927:z:10/58 - Series003,0.976,180.763,43.000,255.000,167.208,106.000,-5.906,5.193
57,Slice3-3doses.lif - Series003:0018-0765-0897:z:18/58 - Series003,1.009,215.003,97.667,255.000,161.917,138.107,-59.036,5.341
58,Slice3-3doses.lif - Series003:0018-0904-0966:z:18/58 - Series003,0.455,207.082,126.111,255.000,174.363,163.240,-45.000,2.381
59,Slice3-3doses.lif - Series003:0018-0713-0837:z:18/58 - Series003,0.455,206.898,147.964,249.888,151.154,128.668,-67.380,2.259
60,Slice3-3doses.lif - Series003:0018-0919-0812:z:18/58 - Series003,0.586,195.224,95.000,250.784,146.585,165.825,72.646,3.156
61,Slice3-3doses.lif - Series003:0021-0773-0866:z:21/58 - Series003,0.846,245.946,161.222,255.000,156.265,139.550,-62.447,4.571
62,Slice3-3doses.lif - Series003:0021-0811-0864:z:21/58 - Series003,0.944,89.409,13.129,206.772,155.904,146.284,73.496,5.058
63,Slice3-3doses.lif - Series003:0023-0610-0780:z:23/58 - Series003,0.878,213.482,144.809,255.000,140.753,110.089,-32.471,4.640
64,Slice3-3doses.lif - Series003:0031-0962-0715:z:31/58 - Series003,0.521,220.143,121.333,255.000,128.968,173.701,-65.225,2.637
65,Slice3-3doses.lif - Series003:0031-0986-0721:z:31/58 - Series003,0.455,197.590,34.222,254.895,130.050,178.030,94.399,2.408
66,Slice3-3doses.lif - Series003:0031-0970-0541:z:31/58 - Series003,0.423,224.466,122.556,255.000,97.583,175.024,120.964,2.207
67,Slice3-3doses.lif - Series003:0031-0987-0541:z:31/58 - Series003,0.390,233.327,120.333,255.000,97.643,178.151,-90.000,1.924
68,Slice3-3doses.lif - Series003:0031-0953-0973:z:31/58 - Series003,0.651,134.132,63.889,230.219,175.505,172.078,93.013,3.489
69,Slice3-3doses.lif - Series003:0036-0654-0856:z:36/58 - Series003,0.586,215.743,174.878,255.000,154.461,118.086,-76.759,3.066
70,Slice3-3doses.lif - Series003:0036-0622-0842:z:36/58 - Series003,0.716,163.821,21.222,255.000,151.996,112.133,-70.710,3.803
71,Slice3-3doses.lif - Series003:0047-0650-0904:z:47/58 - Series003,0.878,183.910,116.667,254.014,163.059,117.244,-55.713,4.769
72,Slice3-3doses.lif - Series003:0053-0963-0885:z:53/58 - Series003,0.553,223.000,100.667,255.000,159.692,173.701,97.125,2.926
73,Slice3-3doses.lif - Series003:0053-0981-0887:z:53/58 - Series003,0.423,152.906,66.111,224.167,160.113,176.948,104.036,2.246
74,Slice3-3doses.lif - Series003:0053-0911-0878:z:53/58 - Series003,0.683,185.034,43.556,254.289,158.369,164.322,110.225,3.575
75,Slice3-3doses.lif - Series003:0009-0720-0226:z:9/58 - Series003,0.423,188.953,115.000,231.333,40.765,129.930,-71.565,2.168
76,Slice3-3doses.lif - Series003:0009-0707-0250:z:9/58 - Series003,0.423,231.021,161.333,255.000,45.154,127.465,-45.000,2.127
77,Slice3-3doses.lif - Series003:0009-0863-0489:z:9/58 - Series003,0.455,225.617,113.333,255.000,88.264,155.784,-61.390,2.372
78,Slice3-3doses.lif - Series003:0009-0689-0235:z:9/58 - Series003,0.618,186.021,78.333,255.000,42.569,124.399,-45.000,3.317
79,Slice3-3doses.lif - Series003:0009-0098-0367:z:9/58 - Series003,0.813,245.435,184.222,255.000,66.258,17.797,70.821,4.336
80,Slice3-3doses.lif - Series003:0009-0056-0386:z:9/58 - Series003,0.716,185.641,70.333,255.000,69.745,10.221,64.654,3.764
81,Slice3-3doses.lif - Series003:0009-0586-0926:z:9/58 - Series003,1.009,186.870,50.444,255.000,167.148,105.880,-5.906,5.325
82,Slice3-3doses.lif - Series003:0009-0816-0889:z:9/58 - Series003,0.781,160.711,81.111,229.481,160.474,147.246,107.650,4.183
83,Slice3-3doses.lif - Series003:0009-0872-0722:z:9/58 - Series003,0.781,228.602,117.000,255.000,130.351,157.287,-20.854,4.110
84,Slice3-3doses.lif - Series003:0009-0878-0659:z:9/58 - Series003,0.748,147.453,59.000,229.501,118.927,158.490,17.650,4.032
85,Slice3-3doses.lif - Series003:0009-0710-1000:z:9/58 - Series003,0.553,198.034,8.444,255.000,180.435,128.187,-36.870,2.838
86,Slice3-3doses.lif - Series003:0009-0975-0616:z:9/58 - Series003,0.586,178.770,82.014,233.670,111.111,175.866,-17.354,3.006
87,Slice3-3doses.lif - Series003:0009-0885-0633:z:9/58 - Series003,0.455,218.723,42.111,255.000,114.117,159.572,18.435,2.282
88,Slice3-3doses.lif - Series003:0011-0948-0586:z:11/58 - Series003,0.423,231.104,80.333,255.000,105.640,171.116,118.610,2.207
89,Slice3-3doses.lif - Series003:0011-0969-0591:z:11/58 - Series003,0.358,233.170,178.000,255.000,106.662,174.784,-78.690,1.867
90,Slice3-3doses.lif - Series003:0011-0735-0544:z:11/58 - Series003,0.521,153.707,6.667,253.232,98.304,132.696,61.699,2.640
91,Slice3-3doses.lif - Series003:0011-0707-0563:z:11/58 - Series003,0.553,177.290,92.917,253.667,101.551,127.645,71.565,2.891
92,Slice3-3doses.lif - Series003:0011-0975-0615:z:11/58 - Series003,0.586,215.900,104.667,255.000,110.931,175.926,-6.710,3.044
93,Slice3-3doses.lif - Series003:0011-0961-0834:z:11/58 - Series003,0.586,233.660,198.000,252.268,150.493,173.461,-47.291,3.066
94,Slice3-3doses.lif - Series003:0011-0894-0788:z:11/58 - Series003,1.334,164.388,101.200,244.700,142.136,161.255,-5.711,7.251
95,Slice3-3doses.lif - Series003:0011-0818-0888:z:11/58 - Series003,0.651,228.902,52.000,255.000,160.233,147.667,-64.799,3.496
96,Slice3-3doses.lif - Series003:0011-0579-0927:z:11/58 - Series003,1.009,165.140,98.000,231.813,167.268,104.497,-11.310,5.378
97,Slice3-3doses.lif - Series003:0027-0890-0695:z:27/58 - Series003,0.455,210.195,60.333,255.000,125.481,160.594,112.620,2.435
98,Slice3-3doses.lif - Series003:0027-0953-0971:z:27/58 - Series003,0.781,173.121,98.282,239.812,175.325,171.958,-87.397,4.096
99,Slice3-3doses.lif - Series003:0027-0678-0629:z:27/58 - Series003,0.455,149.969,76.000,210.045,113.456,122.354,116.565,2.313
100,Slice3-3doses.lif - Series003:0048-0650-0903:z:48/58 - Series003,0.944,212.390,160.167,255.000,162.879,117.304,-61.557,5.002
101,Slice3-3doses.lif - Series003:0054-0910-0878:z:54/58 - Series003,0.618,179.327,113.593,248.778,158.369,164.202,102.529,3.326
102,Slice3-3doses.lif - Series003:0054-0928-0885:z:54/58 - Series003,0.488,80.685,39.129,130.395,159.692,167.508,114.775,2.590
103,Slice3-3doses.lif - Series003:0054-0963-0884:z:54/58 - Series003,0.488,196.981,126.889,254.932,159.632,173.761,102.095,2.479
104,Slice3-3doses.lif - Series003:0054-0981-0887:z:54/58 - Series003,0.521,171.396,97.000,245.385,160.053,177.008,98.130,2.689
105,Slice3-3doses.lif - Series003:0001-0755-0158:z:1/58 - Series003,0.813,192.302,107.000,255.000,28.589,136.228,-112.249,4.371
106,Slice3-3doses.lif - Series003:0001-0824-0304:z:1/58 - Series003,0.455,175.835,81.000,247.678,54.879,148.494,-51.340,2.299
107,Slice3-3doses.lif - Series003:0003-0886-0020:z:3/58 - Series003,0.716,169.584,99.500,228.984,3.517,159.812,-19.290,3.822
108,Slice3-3doses.lif - Series003:0003-0753-0157:z:3/58 - Series003,0.781,155.192,57.500,201.417,28.364,135.868,74.745,4.224
109,Slice3-3doses.lif - Series003:0004-0807-0293:z:4/58 - Series003,0.423,220.410,79.750,255.000,52.850,145.473,-41.634,2.172
110,Slice3-3doses.lif - Series003:0004-0915-0371:z:4/58 - Series003,0.521,213.124,136.500,255.000,66.784,164.998,82.405,2.629
111,Slice3-3doses.lif - Series003:0004-0936-0372:z:4/58 - Series003,0.813,205.577,34.000,255.000,67.054,168.786,-92.490,4.247
112,Slice3-3doses.lif - Series003:0004-0951-0342:z:4/58 - Series003,0.748,143.533,46.000,217.645,61.778,171.537,32.276,4.053
113,Slice3-3doses.lif - Series003:0004-0760-0468:z:4/58 - Series003,0.878,151.734,96.720,255.000,84.370,137.040,-60.524,4.733
114,Slice3-3doses.lif - Series003:0004-0775-0491:z:4/58 - Series003,0.521,227.400,144.600,255.000,88.654,139.791,-7.595,2.730
