 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice6-3doses.lif - Series007:0012-0329-0143:z:12/43 - Series007,0.618,222.844,147.500,255.000,25.749,59.434,-45.000,3.253
2,Slice6-3doses.lif - Series007:0012-0318-0127:z:12/43 - Series007,0.488,187.479,111.500,246.347,22.817,57.269,-45.000,2.551
3,Slice6-3doses.lif - Series007:0012-0421-0289:z:12/43 - Series007,0.488,235.100,105.500,255.000,52.083,75.848,59.744,2.552
4,Slice6-3doses.lif - Series007:0012-0258-0246:z:12/43 - Series007,0.553,216.918,80.500,255.000,44.327,46.537,14.931,2.887
5,Slice6-3doses.lif - Series007:0012-0282-0312:z:12/43 - Series007,0.423,179.757,122.500,247.333,56.232,50.821,-95.194,2.092
6,Slice6-3doses.lif - Series007:0012-0266-0309:z:12/43 - Series007,0.358,183.286,42.500,255.000,55.826,47.935,-71.565,1.797
7,Slice6-3doses.lif - Series007:0012-0571-0436:z:12/43 - Series007,0.553,180.473,73.500,219.082,78.644,102.949,34.695,2.904
8,Slice6-3doses.lif - Series007:0012-0583-0419:z:12/43 - Series007,0.488,121.885,84.000,164.750,75.622,105.159,53.973,2.507
9,Slice6-3doses.lif - Series007:0012-0631-0369:z:12/43 - Series007,0.455,189.027,86.000,242.929,66.513,113.862,104.036,2.299
10,Slice6-3doses.lif - Series007:0012-0753-0435:z:12/43 - Series007,0.618,228.204,78.000,255.000,78.418,135.777,22.380,3.269
11,Slice6-3doses.lif - Series007:0012-0750-0459:z:12/43 - Series007,0.651,163.785,41.000,255.000,82.837,135.236,15.524,3.481
12,Slice6-3doses.lif - Series007:0012-0784-0327:z:12/43 - Series007,0.358,87.034,42.350,166.850,58.938,141.459,40.601,1.790
13,Slice6-3doses.lif - Series007:0012-0777-0340:z:12/43 - Series007,0.390,122.306,65.750,163.744,61.282,140.061,33.690,2.027
14,Slice6-3doses.lif - Series007:0012-0815-0447:z:12/43 - Series007,0.618,216.613,76.000,255.000,80.583,147.006,-53.746,3.303
15,Slice6-3doses.lif - Series007:0012-0865-0435:z:12/43 - Series007,0.455,144.312,93.500,184.885,78.463,155.889,-8.746,2.360
16,Slice6-3doses.lif - Series007:0012-0867-0416:z:12/43 - Series007,0.521,143.879,62.000,209.400,75.126,156.250,14.931,2.778
17,Slice6-3doses.lif - Series007:0012-0565-0485:z:12/43 - Series007,0.553,213.440,66.000,255.000,87.482,101.867,-32.735,2.954
18,Slice6-3doses.lif - Series007:0012-0555-0470:z:12/43 - Series007,0.423,185.101,94.500,255.000,84.821,100.063,-34.992,2.227
19,Slice6-3doses.lif - Series007:0012-0416-0479:z:12/43 - Series007,0.553,221.102,113.500,255.000,86.355,75.036,7.595,2.819
20,Slice6-3doses.lif - Series007:0012-0420-0496:z:12/43 - Series007,0.521,101.079,58.000,126.200,89.466,75.848,3.814,2.712
21,Slice6-3doses.lif - Series007:0012-0575-0669:z:12/43 - Series007,0.748,134.934,49.000,170.979,120.536,103.671,2.603,3.879
22,Slice6-3doses.lif - Series007:0012-0563-0823:z:12/43 - Series007,0.455,226.559,124.000,254.104,148.449,101.641,32.471,2.352
23,Slice6-3doses.lif - Series007:0012-0582-0816:z:12/43 - Series007,0.423,84.228,60.500,146.375,147.276,104.888,85.236,2.172
24,Slice6-3doses.lif - Series007:0012-0683-0821:z:12/43 - Series007,0.488,217.598,66.000,255.000,147.998,123.196,-33.690,2.601
25,Slice6-3doses.lif - Series007:0012-0676-0804:z:12/43 - Series007,0.521,218.785,92.000,255.000,145.067,121.934,0.000,2.615
26,Slice6-3doses.lif - Series007:0012-0747-0776:z:12/43 - Series007,0.618,182.046,98.000,228.560,139.881,134.785,-63.435,3.308
27,Slice6-3doses.lif - Series007:0012-0719-0661:z:12/43 - Series007,0.390,169.657,77.000,219.017,119.183,129.645,24.444,2.061
28,Slice6-3doses.lif - Series007:0012-0721-0646:z:12/43 - Series007,0.390,107.121,48.000,126.818,116.613,130.050,10.305,2.017
29,Slice6-3doses.lif - Series007:0012-0701-0924:z:12/43 - Series007,0.618,216.067,70.500,255.000,166.622,126.488,42.709,3.319
30,Slice6-3doses.lif - Series007:0012-0716-0908:z:12/43 - Series007,0.423,151.019,19.000,252.309,163.871,129.104,52.125,2.129
31,Slice6-3doses.lif - Series007:0012-0525-0975:z:12/43 - Series007,0.651,182.859,54.000,251.859,175.731,94.562,23.962,3.434
32,Slice6-3doses.lif - Series007:0012-0520-0993:z:12/43 - Series007,0.553,208.385,98.617,255.000,179.113,93.750,42.510,2.876
33,Slice6-3doses.lif - Series007:0012-0504-0986:z:12/43 - Series007,0.553,168.136,34.000,237.688,177.805,90.999,3.814,2.802
34,Slice6-3doses.lif - Series007:0012-0488-0987:z:12/43 - Series007,0.521,126.195,64.500,225.000,178.075,88.113,-47.726,2.743
35,Slice6-3doses.lif - Series007:0012-0477-0971:z:12/43 - Series007,0.488,211.331,94.000,255.000,175.054,86.129,-30.256,2.506
36,Slice6-3doses.lif - Series007:0012-0968-0720:z:12/43 - Series007,0.553,160.750,69.709,255.000,129.915,174.468,-60.255,2.878
37,Slice6-3doses.lif - Series007:0012-0950-0703:z:12/43 - Series007,0.846,220.737,128.000,255.000,126.668,171.266,-28.610,4.441
38,Slice6-3doses.lif - Series007:0020-0596-0933:z:20/43 - Series007,0.455,212.540,121.000,255.000,168.290,107.504,-67.380,2.345
39,Slice6-3doses.lif - Series007:0020-0574-0928:z:20/43 - Series007,0.618,117.982,63.028,251.196,167.253,103.490,-76.759,3.219
40,Slice6-3doses.lif - Series007:0020-0664-0834:z:20/43 - Series007,0.618,179.009,94.500,228.333,150.433,119.634,6.340,3.258
41,Slice6-3doses.lif - Series007:0020-0667-0810:z:20/43 - Series007,0.553,187.379,67.574,247.969,146.059,120.265,3.814,2.809
42,Slice6-3doses.lif - Series007:0020-0659-0686:z:20/43 - Series007,0.618,227.110,84.000,255.000,123.602,118.822,-9.462,3.189
43,Slice6-3doses.lif - Series007:0020-0769-0686:z:20/43 - Series007,0.423,212.962,74.500,255.000,123.782,138.754,45.000,2.168
44,Slice6-3doses.lif - Series007:0020-0787-0669:z:20/43 - Series007,0.716,203.400,77.000,255.000,120.716,142.000,45.000,3.699
45,Slice6-3doses.lif - Series007:0020-0768-0966:z:20/43 - Series007,0.488,197.204,91.000,255.000,174.242,138.573,-26.565,2.462
46,Slice6-3doses.lif - Series007:0020-0784-0821:z:20/43 - Series007,0.618,118.779,32.500,199.864,148.088,141.504,16.390,3.196
47,Slice6-3doses.lif - Series007:0020-0785-0803:z:20/43 - Series007,0.390,78.494,30.000,139.934,144.796,141.685,-5.194,1.903
48,Slice6-3doses.lif - Series007:0020-0701-0765:z:20/43 - Series007,0.488,130.158,76.750,159.732,137.942,126.488,-48.013,2.554
49,Slice6-3doses.lif - Series007:0020-0686-0752:z:20/43 - Series007,0.651,123.442,55.000,160.123,135.597,123.737,-27.897,3.390
50,Slice6-3doses.lif - Series007:0020-0932-0880:z:20/43 - Series007,0.976,137.248,38.001,255.000,158.685,168.110,-7.853,5.191
51,Slice6-3doses.lif - Series007:0020-0933-0851:z:20/43 - Series007,0.553,142.675,54.000,254.375,153.409,168.335,7.125,2.921
52,Slice6-3doses.lif - Series007:0020-0902-0632:z:20/43 - Series007,0.423,160.119,82.500,243.667,114.087,162.608,-41.634,2.172
53,Slice6-3doses.lif - Series007:0020-0831-0751:z:20/43 - Series007,0.423,184.884,91.500,254.453,135.326,149.937,0.000,2.076
54,Slice6-3doses.lif - Series007:0022-0394-0077:z:22/43 - Series007,0.553,145.207,65.000,227.062,13.754,71.023,-10.620,2.832
55,Slice6-3doses.lif - Series007:0022-0412-0086:z:22/43 - Series007,0.716,192.703,112.500,246.490,15.512,74.405,-25.346,3.792
