 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Control5.lif - Series003:0001-0376-0191:z:1/9 - Series003,0.488,73.523,32.163,93.633,34.452,67.776,-30.256,2.552
2,Control5.lif - Series003:0001-0382-0208:z:1/9 - Series003,0.390,100.148,50.000,141.182,37.608,68.948,-33.690,2.002
3,Control5.lif - Series003:0001-0261-0301:z:1/9 - Series003,0.423,171.899,110.000,255.000,54.338,47.078,-30.964,2.181
4,Control5.lif - Series003:0001-0267-0315:z:1/9 - Series003,0.423,146.337,73.500,184.938,56.908,48.115,-37.875,2.113
5,Control5.lif - Series003:0001-0257-0340:z:1/9 - Series003,0.716,132.556,71.500,235.101,61.282,46.221,15.945,3.828
6,Control5.lif - Series003:0001-0255-0320:z:1/9 - Series003,0.358,177.939,95.250,217.940,57.675,45.905,-12.529,1.751
7,Control5.lif - Series003:0001-0541-0175:z:1/9 - Series003,0.813,103.858,74.500,144.427,31.656,97.493,-14.621,4.287
8,Control5.lif - Series003:0001-0546-0130:z:1/9 - Series003,0.325,140.906,74.000,198.222,23.449,98.530,-12.529,1.685
9,Control5.lif - Series003:0001-0546-0115:z:1/9 - Series003,0.293,152.878,37.000,252.750,20.698,98.485,-15.945,1.400
10,Control5.lif - Series003:0001-0738-0157:z:1/9 - Series003,0.553,155.940,110.500,207.852,28.274,133.027,-21.801,2.831
11,Control5.lif - Series003:0001-0728-0140:z:1/9 - Series003,0.553,146.464,97.750,176.250,25.253,131.223,-21.801,2.914
12,Control5.lif - Series003:0005-0711-0110:z:5/9 - Series003,0.455,135.861,101.846,203.000,19.931,128.337,-32.471,2.352
13,Control5.lif - Series003:0005-0701-0096:z:5/9 - Series003,0.325,131.209,105.444,179.389,17.406,126.308,-40.601,1.606
14,Control5.lif - Series003:0005-0877-0131:z:5/9 - Series003,0.521,139.576,87.750,164.640,23.674,158.234,-45.000,2.678
15,Control5.lif - Series003:0005-0994-0130:z:5/9 - Series003,0.390,153.961,88.000,199.570,23.539,179.203,-48.814,1.917
16,Control5.lif - Series003:0005-0861-0415:z:5/9 - Series003,0.586,182.038,80.000,246.706,74.946,155.348,-6.710,3.099
17,Control5.lif - Series003:0007-0877-0129:z:7/9 - Series003,0.716,128.722,70.571,164.500,23.178,158.234,-29.055,3.759
18,Control5.lif - Series003:0007-0963-0092:z:7/9 - Series003,0.586,155.925,100.500,195.130,16.504,173.791,17.354,3.024
19,Control5.lif - Series003:0007-0985-0114:z:7/9 - Series003,0.521,97.940,80.300,130.000,20.608,177.624,-47.726,2.678
20,Control5.lif - Series003:0001-0336-0419:z:1/9 - Series003,0.716,146.695,79.000,205.143,75.667,60.651,-10.784,3.874
21,Control5.lif - Series003:0001-0424-0411:z:1/9 - Series003,0.553,168.732,94.000,234.000,74.134,76.569,-3.576,2.892
