 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice1-nmdablocker.lif - Series006:0001-0356-0417:z:1/26 - Series006,0.694,230.461,152.000,255.000,100.289,85.438,-45.000,2.637
2,Slice1-nmdablocker.lif - Series006:0001-0366-0433:z:1/26 - Series006,0.636,245.168,159.750,255.000,104.137,88.023,-29.055,2.476
3,Slice1-nmdablocker.lif - Series006:0001-0359-0395:z:1/26 - Series006,0.868,201.764,70.276,255.000,94.937,86.219,-24.775,3.335
4,Slice1-nmdablocker.lif - Series006:0001-0352-0378:z:1/26 - Series006,0.578,250.315,225.889,255.000,90.909,84.776,-20.556,2.055
5,Slice1-nmdablocker.lif - Series006:0001-0385-0543:z:1/26 - Series006,0.925,203.679,157.556,255.000,130.592,92.713,-47.726,3.575
6,Slice1-nmdablocker.lif - Series006:0001-0399-0562:z:1/26 - Series006,0.983,209.017,100.000,255.000,135.161,96.080,-42.510,3.915
7,Slice1-nmdablocker.lif - Series006:0001-0268-0524:z:1/26 - Series006,0.752,249.390,211.000,255.000,126.082,64.394,-48.366,2.891
8,Slice1-nmdablocker.lif - Series006:0001-0283-0537:z:1/26 - Series006,1.099,244.249,190.000,255.000,128.968,68.062,-63.435,4.250
9,Slice1-nmdablocker.lif - Series006:0001-0218-0556:z:1/26 - Series006,0.578,227.874,137.000,255.000,133.718,52.429,-63.435,2.151
10,Slice1-nmdablocker.lif - Series006:0001-0230-0563:z:1/26 - Series006,0.578,170.539,147.750,199.963,135.341,55.375,-50.194,2.048
11,Slice1-nmdablocker.lif - Series006:0001-0123-0461:z:1/26 - Series006,0.521,233.189,161.500,255.000,110.810,29.582,-50.194,1.958
12,Slice1-nmdablocker.lif - Series006:0001-0115-0450:z:1/26 - Series006,0.578,202.926,71.250,255.000,108.105,27.718,-45.000,2.127
13,Slice1-nmdablocker.lif - Series006:0001-0144-0455:z:1/26 - Series006,0.983,211.375,45.000,255.000,109.548,34.632,-21.801,3.885
14,Slice1-nmdablocker.lif - Series006:0001-0138-0441:z:1/26 - Series006,0.521,213.819,146.000,255.000,106.181,33.189,-50.194,1.878
15,Slice1-nmdablocker.lif - Series006:0001-0128-0433:z:1/26 - Series006,0.521,221.806,144.500,255.000,104.016,30.904,-60.255,1.939
16,Slice1-nmdablocker.lif - Series006:0001-0128-0386:z:1/26 - Series006,0.810,230.390,73.500,255.000,92.953,30.784,-12.995,3.209
17,Slice1-nmdablocker.lif - Series006:0001-0117-0403:z:1/26 - Series006,0.636,240.449,192.000,255.000,97.042,28.078,-45.000,2.297
18,Slice1-nmdablocker.lif - Series006:0001-0109-0391:z:1/26 - Series006,0.521,235.934,186.000,255.000,94.036,26.275,-29.745,2.001
19,Slice1-nmdablocker.lif - Series006:0001-0125-0374:z:1/26 - Series006,0.405,245.750,190.500,255.000,89.947,29.942,-38.660,1.540
20,Slice1-nmdablocker.lif - Series006:0001-0306-0325:z:1/26 - Series006,0.578,216.299,60.000,255.000,77.982,73.593,32.005,2.168
