 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice4-2doses-final.lif - Series005:0005-0261-0491:z:5/24 - Series005,0.521,110.302,63.000,147.140,88.609,47.168,-47.726,2.743
2,Slice4-2doses-final.lif - Series005:0005-0249-0480:z:5/24 - Series005,0.423,85.762,56.431,121.833,86.625,44.823,-45.000,2.105
3,Slice4-2doses-final.lif - Series005:0005-0198-0565:z:5/24 - Series005,0.455,158.857,77.750,221.482,101.822,35.579,-63.435,2.340
4,Slice4-2doses-final.lif - Series005:0005-0208-0576:z:5/24 - Series005,0.390,118.465,51.500,172.000,103.941,37.608,-41.186,1.986
5,Slice4-2doses-final.lif - Series005:0005-0270-0649:z:5/24 - Series005,0.423,143.146,87.500,164.125,116.973,48.656,-34.992,2.151
6,Slice4-2doses-final.lif - Series005:0005-0278-0669:z:5/24 - Series005,0.651,138.621,87.000,160.287,120.761,50.099,-36.254,3.409
7,Slice4-2doses-final.lif - Series005:0001-0115-0493:z:1/24 - Series005,0.488,91.578,51.500,116.554,88.880,20.788,-36.027,2.437
8,Slice4-2doses-final.lif - Series005:0001-0128-0508:z:1/24 - Series005,0.423,85.982,32.000,132.000,91.631,23.088,-34.992,2.202
9,Slice4-2doses-final.lif - Series005:0001-0201-0465:z:1/24 - Series005,0.390,155.256,64.250,227.318,83.784,36.210,-26.565,2.059
10,Slice4-2doses-final.lif - Series005:0013-0724-0379:z:13/24 - Series005,0.683,110.705,72.667,142.742,68.392,130.712,-59.534,3.537
11,Slice4-2doses-final.lif - Series005:0013-0745-0396:z:13/24 - Series005,0.651,82.067,48.889,108.049,71.549,134.319,-47.121,3.487
12,Slice4-2doses-final.lif - Series005:0013-0703-0324:z:13/24 - Series005,0.358,102.667,84.000,119.507,58.411,126.714,-40.601,1.720
13,Slice4-2doses-final.lif - Series005:0013-0711-0335:z:13/24 - Series005,0.293,91.185,35.333,123.417,60.516,128.217,-23.199,1.425
14,Slice4-2doses-final.lif - Series005:0013-0600-0207:z:13/24 - Series005,0.455,100.162,48.111,131.615,37.368,108.345,12.995,2.394
15,Slice4-2doses-final.lif - Series005:0013-0600-0191:z:13/24 - Series005,0.358,100.904,56.333,143.973,34.542,108.345,-29.055,1.829
16,Slice4-2doses-final.lif - Series005:0013-0591-0248:z:13/24 - Series005,0.358,118.530,48.333,138.333,44.763,106.512,-36.870,1.720
17,Slice4-2doses-final.lif - Series005:0017-0627-0278:z:17/24 - Series005,0.455,73.078,51.333,80.726,50.174,113.185,-38.660,2.302
18,Slice4-2doses-final.lif - Series005:0017-0579-0252:z:17/24 - Series005,0.293,120.484,63.000,143.052,45.485,104.347,-90.000,1.384
19,Slice4-2doses-final.lif - Series005:0006-0479-0445:z:6/24 - Series005,0.521,96.070,64.049,126.867,80.297,86.310,-39.806,2.733
20,Slice4-2doses-final.lif - Series005:0018-0831-0236:z:18/24 - Series005,0.716,107.797,45.333,145.531,42.689,149.862,-13.392,3.865
21,Slice4-2doses-final.lif - Series005:0018-0843-0257:z:18/24 - Series005,0.618,105.900,44.444,146.767,46.417,152.086,-45.000,3.189
22,Slice4-2doses-final.lif - Series005:0018-0871-0341:z:18/24 - Series005,0.521,102.763,31.222,144.173,61.658,157.047,-53.130,2.706
23,Slice4-2doses-final.lif - Series005:0018-0861-0328:z:18/24 - Series005,0.358,77.269,43.444,100.742,59.133,155.243,-40.601,1.756
24,Slice4-2doses-final.lif - Series005:0001-0734-0257:z:1/24 - Series005,0.586,150.166,53.000,194.039,46.417,132.576,47.291,3.156
25,Slice4-2doses-final.lif - Series005:0001-0730-0225:z:1/24 - Series005,0.260,140.202,70.667,173.150,40.675,131.854,98.130,1.335
26,Slice4-2doses-final.lif - Series005:0013-0296-0050:z:13/24 - Series005,0.423,97.833,50.250,115.875,8.974,53.391,-59.036,2.104
27,Slice4-2doses-final.lif - Series005:0013-0310-0062:z:13/24 - Series005,0.586,89.340,59.438,113.632,11.206,55.826,-35.538,3.089
28,Slice4-2doses-final.lif - Series005:0013-0356-0146:z:13/24 - Series005,0.521,137.327,94.250,157.600,26.402,64.146,-15.945,2.658
29,Slice4-2doses-final.lif - Series005:0008-0008-0099:z:8/24 - Series005,0.358,76.161,58.250,107.160,17.857,1.488,-23.962,1.776
30,Slice4-2doses-final.lif - Series005:0008-0015-0114:z:8/24 - Series005,0.358,79.948,41.000,97.475,20.653,2.728,-32.005,1.802
31,Slice4-2doses-final.lif - Series005:0008-0092-0201:z:8/24 - Series005,0.455,113.628,75.000,156.601,36.301,16.685,-45.000,2.296
32,Slice4-2doses-final.lif - Series005:0004-0388-0286:z:4/24 - Series005,0.423,53.111,31.000,64.799,51.497,69.963,-48.366,2.139
33,Slice4-2doses-final.lif - Series005:0004-0376-0274:z:4/24 - Series005,0.390,78.409,40.000,105.067,49.513,67.911,-53.130,1.930
34,Slice4-2doses-final.lif - Series005:0001-0457-0510:z:1/24 - Series005,0.325,78.198,48.938,93.382,91.969,82.544,-54.462,1.563
35,Slice4-2doses-final.lif - Series005:0001-0479-0446:z:1/24 - Series005,0.553,114.629,60.316,190.875,80.470,86.264,-47.490,2.839
36,Slice4-2doses-final.lif - Series005:0001-0492-0464:z:1/24 - Series005,0.423,86.002,49.875,96.333,83.649,88.699,-41.634,2.240
37,Slice4-2doses-final.lif - Series005:0001-0468-0514:z:1/24 - Series005,0.260,114.968,65.000,147.342,92.668,84.370,-66.801,1.256
38,Slice4-2doses-final.lif - Series005:0013-0557-0441:z:13/24 - Series005,0.358,78.622,58.000,119.400,79.591,100.492,-78.690,1.816
39,Slice4-2doses-final.lif - Series005:0013-0539-0438:z:13/24 - Series005,0.325,78.248,56.500,92.910,79.049,97.200,-71.565,1.668
40,Slice4-2doses-final.lif - Series005:0016-0577-0258:z:16/24 - Series005,0.455,101.783,64.000,143.788,46.627,104.054,-77.005,2.275
41,Slice4-2doses-final.lif - Series005:0016-0594-0261:z:16/24 - Series005,0.325,97.585,42.500,130.833,47.191,107.210,-69.444,1.569
42,Slice4-2doses-final.lif - Series005:0016-0907-0682:z:16/24 - Series005,0.423,101.668,64.750,132.750,122.881,163.510,-51.340,2.183
43,Slice4-2doses-final.lif - Series005:0011-0383-0208:z:11/24 - Series005,0.455,97.347,66.500,123.182,37.495,69.242,-32.471,2.339
44,Slice4-2doses-final.lif - Series006:0016-0581-0914:z:16/33 - Series006,0.618,95.829,46.222,148.333,164.923,104.708,12.529,3.313
45,Slice4-2doses-final.lif - Series006:0016-0581-0891:z:16/33 - Series006,0.521,177.133,29.667,255.000,160.804,104.888,7.595,2.738
46,Slice4-2doses-final.lif - Series006:0011-0179-0769:z:11/33 - Series006,0.521,213.801,120.000,255.000,138.799,32.287,42.274,2.681
47,Slice4-2doses-final.lif - Series006:0011-0170-0788:z:11/33 - Series006,0.683,159.145,73.500,251.705,142.045,30.528,29.055,3.671
48,Slice4-2doses-final.lif - Series006:0023-0760-0320:z:23/33 - Series006,0.455,101.739,65.750,146.290,57.720,137.085,32.471,2.352
49,Slice4-2doses-final.lif - Series006:0023-0767-0306:z:23/33 - Series006,0.358,102.239,42.500,167.220,55.195,138.303,18.435,1.742
50,Slice4-2doses-final.lif - Series006:0001-0545-0188:z:1/33 - Series006,0.521,209.108,134.444,255.000,34.031,98.214,53.130,2.621
51,Slice4-2doses-final.lif - Series006:0001-0535-0205:z:1/33 - Series006,0.423,163.122,69.333,238.000,37.037,96.531,45.000,2.084
52,Slice4-2doses-final.lif - Series006:0001-0531-0631:z:1/33 - Series006,0.358,130.278,73.000,153.655,113.772,95.644,33.690,1.826
53,Slice4-2doses-final.lif - Series006:0001-0529-0652:z:1/33 - Series006,0.455,207.294,50.000,255.000,117.605,95.373,4.399,2.360
54,Slice4-2doses-final.lif - Series006:0001-0625-0770:z:1/33 - Series006,0.455,213.401,61.000,255.000,138.889,112.689,14.036,2.255
55,Slice4-2doses-final.lif - Series006:0001-0630-0754:z:1/33 - Series006,0.358,133.086,56.750,185.850,135.958,113.636,29.055,1.779
56,Slice4-2doses-final.lif - Series006:0017-0587-0735:z:17/33 - Series006,0.423,138.641,60.500,216.556,132.666,105.790,19.983,2.111
57,Slice4-2doses-final.lif - Series006:0017-0582-0753:z:17/33 - Series006,0.423,177.443,70.500,245.375,135.777,104.843,28.610,2.138
58,Slice4-2doses-final.lif - Series006:0017-0512-0679:z:17/33 - Series006,0.716,176.798,62.000,255.000,122.475,92.352,14.036,3.719
59,Slice4-2doses-final.lif - Series006:0021-0559-0626:z:21/33 - Series006,0.618,198.031,69.000,255.000,113.005,100.920,42.709,3.232
60,Slice4-2doses-final.lif - Series006:0021-0551-0650:z:21/33 - Series006,0.813,172.757,64.556,255.000,117.274,99.507,26.565,4.356
