X0,Y0,Y1,Y2
0.00000,25.000,162.778,0
0.16949,19.719,183.859,0
0.33898,16.216,224.193,0
0.50847,14.912,221.289,0
0.67797,17.769,170.760,0
0.84746,20.355,108.944,0
1.01695,35.780,94.110,0
1.18644,65.839,73.194,0
1.35593,120.982,66.848,0
1.52542,142.151,65.798,0
1.69492,150.430,71.893,0
1.86441,188.667,73.000,0
2.03390,231.754,68.068,0
2.20339,254.194,69.054,0
2.37288,255.000,69.120,0
2.54237,255.000,66.502,0
2.71186,255.000,71.950,0
2.88136,255.000,67.845,0
3.05085,255.000,67.316,0
3.22034,255.000,69.909,0
3.38983,255.000,75.768,0
3.55932,255.000,85.372,0
3.72881,255.000,84.000,0
