X0,Y0,Y1,Y2
0.00000,83.500,154.000,0
0.16949,87.368,184.688,0
0.33898,90.556,216.889,0
0.50847,96.396,215.417,0
0.67797,99.972,181.972,0
0.84746,114.312,143.215,0
1.01695,153.333,121.333,0
1.18644,194.924,113.507,0
1.35593,232.972,113.500,0
1.52542,255.000,115.000,0
1.69492,255.000,111.000,0
1.86441,255.000,104.722,0
2.03390,255.000,100.750,0
2.20339,255.000,101.201,0
2.37288,255.000,104.556,0
2.54237,255.000,93.354,0
2.71186,254.806,90.639,0
2.88136,247.833,86.361,0
3.05085,164.000,73.000,0
