X0,Y0,Y1,Y2
0.00000,165.667,0,80.778
0.16949,226.671,0,80.568
0.33898,246.249,0,79.928
0.50847,255.000,0,86.417
0.67797,255.000,0,89.680
0.84746,255.000,0,87.386
1.01695,255.000,0,96.945
1.18644,255.000,0,112.278
1.35593,254.671,0,136.650
1.52542,219.234,0,196.350
1.69492,160.181,0,244.250
1.86441,110.791,0,253.627
2.03390,89.769,0,251.605
2.20339,73.667,0,238.667
2.37288,64.512,0,234.141
2.54237,57.258,0,194.247
2.71186,54.166,0,168.156
2.88136,51.146,0,175.982
3.05085,47.427,0,187.652
3.22034,46.602,0,201.343
3.38983,49.092,0,198.003
3.55932,50.980,0,187.691
3.72881,52.205,0,189.361
3.89831,47.642,0,187.603
4.06780,49.821,0,183.405
4.23729,50.122,0,198.982
4.40678,48.556,0,205.000
