X0,Y0,Y1,Y2
0.00000,128.000,0,85.000
0.16949,149.039,0,84.711
0.33898,166.299,0,92.324
0.50847,181.867,0,97.949
0.67797,189.397,0,96.937
0.84746,217.768,0,96.286
1.01695,230.755,0,101.510
1.18644,248.111,0,102.889
1.35593,244.342,0,101.696
1.52542,230.796,0,110.622
1.69492,208.063,0,127.490
1.86441,179.468,0,147.704
2.03390,167.755,0,163.939
2.20339,147.571,0,178.736
2.37288,125.667,0,200.000
2.54237,102.439,0,208.000
2.71186,84.088,0,213.079
2.88136,75.604,0,217.992
3.05085,64.143,0,213.490
3.22034,60.023,0,202.663
3.38983,63.447,0,185.406
3.55932,59.500,0,150.000
