X0,Y0,Y1,Y2
0.00000,237.333,0,50.667
0.16949,254.559,0,53.766
0.33898,255.000,0,58.548
0.50847,255.000,0,73.797
0.67797,247.789,0,81.333
0.84746,192.644,0,98.844
1.01695,140.205,0,144.067
1.18644,107.704,0,206.072
1.35593,94.448,0,254.571
1.52542,78.504,0,249.195
1.69492,72.956,0,231.467
1.86441,70.590,0,232.298
2.03390,63.856,0,229.221
2.20339,55.393,0,221.495
2.37288,52.744,0,220.667
2.54237,51.400,0,210.800
2.71186,51.252,0,199.540
2.88136,54.452,0,191.436
3.05085,49.219,0,168.288
3.22034,51.238,0,168.718
3.38983,53.489,0,161.111
3.55932,53.744,0,171.696
3.72881,55.568,0,195.653
3.89831,53.703,0,223.295
4.06780,52.421,0,246.637
4.23729,48.444,0,249.000
