X0,Y0,Y1,Y2
0.00000,84.889,146.444,0
0.16949,84.914,178.182,0
0.33898,87.765,189.463,0
0.50847,81.750,212.750,0
0.67797,77.259,219.136,0
0.84746,75.306,210.426,0
1.01695,72.667,206.000,0
1.18644,76.636,180.701,0
1.35593,85.395,129.988,0
1.52542,93.694,113.139,0
1.69492,106.333,102.778,0
1.86441,131.753,92.469,0
2.03390,158.000,86.667,0
2.20339,188.086,90.704,0
2.37288,177.191,89.438,0
2.54237,177.000,84.250,0
2.71186,180.370,75.086,0
2.88136,157.744,71.685,0
3.05085,149.444,72.833,0
3.22034,168.836,78.840,0
3.38983,199.494,82.420,0
3.55932,224.250,85.250,0
3.72881,233.259,89.136,0
3.89831,248.173,79.985,0
4.06780,249.000,71.333,0
